cidade,uf,regiao,veiculos,codmun,pop_dou_2017,veiculos_por_100khab
CLEMENTINA,SP,Sudeste,1,3511904,8254,12
CLÁUDIO,MG,Sudeste,2,3116605,28287,7
COARACI,BA,Nordeste,1,2908002,19022,5
COARI,AM,Norte,1,1301209,84762,1
COCAL DO SUL,SC,Sul,2,4204251,16446,12
COCALZINHO DE GOIÁS,GO,Centro-Oeste,1,5205513,19583,5
COELHO NETO,MA,Nordeste,2,2103406,48756,4
COIMBRA,MG,Sudeste,1,3116704,7559,13
COLINAS DO TOCANTINS,TO,Norte,1,1705508,34839,2
COLOMBO,PR,Sul,2,4105805,237402,0
COLORADO,RS,Sul,1,4305603,3478,28
COLUNA,MG,Sudeste,1,3116803,9146,10
COMENDADOR GOMES,MG,Sudeste,1,3116902,3138,31
COMERCINHO,MG,Sudeste,1,3117009,7599,13
COMODORO,MT,Centro-Oeste,2,5103304,19932,10
CONCEIÇÃO DA APARECIDA,MG,Sudeste,1,3117108,10374,9
CONCEIÇÃO DA BARRA,ES,Sudeste,2,3201605,31574,6
CONCEIÇÃO DAS ALAGOAS,MG,Sudeste,1,3117306,26818,3
CONCEIÇÃO DAS PEDRAS,MG,Sudeste,1,3117207,2858,34
CONCEIÇÃO DE IPANEMA,MG,Sudeste,1,3117405,4644,21
CONCEIÇÃO DO ARAGUAIA,PA,Norte,2,1502707,46571,4
CONCEIÇÃO DO CASTELO,ES,Sudeste,1,3201704,12944,7
CONCEIÇÃO DO JACUÍPE,BA,Nordeste,1,2908507,33876,2
CONCEIÇÃO DO RIO VERDE,MG,Sudeste,1,3117702,13724,7
CONCEIÇÃO DOS OUROS,MG,Sudeste,1,3117801,11467,8
CONCHAL,SP,Sudeste,2,3512209,27554,7
CONDADO,PB,Nordeste,1,2504504,6753,14
CONDEÚBA,BA,Nordeste,2,2908705,18191,10
CONGONHAL,MG,Sudeste,1,3117900,11706,8
CONSELHEIRO PENA,MG,Sudeste,2,3118403,23240,8
COQUEIRAL,MG,Sudeste,1,3118700,9432,10
CORAÇÃO DE JESUS,MG,Sudeste,1,3118809,27052,3
CORBÉLIA,PR,Sul,2,4106308,17193,11
CORDEIROS,BA,Nordeste,1,2909000,8904,11
CORDEIRÓPOLIS,SP,Sudeste,2,3512407,23793,8
CORDISLÂNDIA,MG,Sudeste,1,3119005,3587,27
COROACI,MG,Sudeste,1,3119203,10339,9
CORONEL JOÃO PESSOA,RN,Nordeste,1,2402907,4980,20
CORONEL MURTA,MG,Sudeste,1,3119500,9411,10
CORONEL PACHECO,MG,Sudeste,1,3119609,3125,32
CORONEL SAPUCAIA,MS,Centro-Oeste,1,5003157,15016,6
CORREIA PINTO,SC,Sul,1,4204558,13358,7
CORTÊS,PE,Nordeste,1,2604809,12560,7
CORUMBÁ DE GOIÁS,GO,Centro-Oeste,1,5205802,11086,9
CORUPÁ,SC,Sul,1,4204509,15541,6
CORURIPE,AL,Nordeste,2,2702306,57498,3
COSMORAMA,SP,Sudeste,1,3512902,7374,13
CRAVINHOS,SP,Sudeste,2,3513108,34651,5
CRISSIUMAL,RS,Sul,2,4306007,14195,14
CRISTALINA,GO,Centro-Oeste,2,5206206,55347,3
CRISTALÂNDIA,TO,Norte,2,1706100,7374,27
CRISTINA,MG,Sudeste,1,3120508,10482,9
CROATÁ,CE,Nordeste,1,2304236,17874,5
CRUZ MACHADO,PR,Sul,1,4106803,18907,5
CRUZÍLIA,MG,Sudeste,1,3120805,15497,6
CUBATI,PB,Nordeste,1,2505006,7274,13
CUITÉ,PB,Nordeste,1,2505105,20348,4
CUNHA,SP,Sudeste,1,3513603,21929,4
CUPARAQUE,MG,Sudeste,1,3120839,4995,20
CUPIRA,PE,Nordeste,2,2605004,23977,8
CURIMATÁ,PI,Nordeste,1,2203206,11190,8
CURUÇÁ,PA,Norte,1,1502905,38959,2
CÁSSIA,MG,Sudeste,2,3115102,18057,11
CÂNDIDO DE ABREU,PR,Sul,2,4104402,16059,12
CÂNDIDO SALES,BA,Nordeste,1,2906709,26674,3
CÉU AZUL,PR,Sul,1,4105300,11764,8
CÍCERO DANTAS,BA,Nordeste,1,2907806,34676,2
CÓRREGO DANTA,MG,Sudeste,2,3119807,3359,59
CÓRREGO DO BOM JESUS,MG,Sudeste,1,3119906,3804,26
CÓRREGO NOVO,MG,Sudeste,1,3120003,2970,33
DATAS,MG,Sudeste,1,3121001,5471,18
DELFIM MOREIRA,MG,Sudeste,1,3121100,8205,12
DELFINÓPOLIS,MG,Sudeste,1,3121209,7186,13
DELMIRO GOUVEIA,AL,Nordeste,1,2702405,52597,1
DEMERVAL LOBÃO,PI,Nordeste,1,2203305,13595,7
DENISE,MT,Centro-Oeste,1,5103452,9115,10
DEODÁPOLIS,MS,Centro-Oeste,1,5003454,12773,7
DESCOBERTO,MG,Sudeste,1,3121308,5047,19
DESTERRO DE ENTRE RIOS,MG,Sudeste,1,3121407,7334,13
DESTERRO DO MELO,MG,Sudeste,1,3121506,3015,33
DIANÓPOLIS,TO,Norte,1,1707009,21738,4
DIOGO DE VASCONCELOS,MG,Sudeste,1,3121704,3913,25
DIONÍSIO,MG,Sudeste,2,3121803,8287,24
DIORAMA,GO,Centro-Oeste,1,5207105,2547,39
DIVINO DAS LARANJEIRAS,MG,Sudeste,1,3122108,5086,19
DIVINOLÂNDIA,SP,Sudeste,1,3513900,11384,8
DIVINOLÂNDIA DE MINAS,MG,Sudeste,1,3122207,7559,13
DIVINÉSIA,MG,Sudeste,1,3121902,3455,28
DOIS IRMÃOS,RS,Sul,1,4306403,30753,3
DOIS RIACHOS,AL,Nordeste,1,2702504,11214,8
DOM ELISEU,PA,Norte,1,1502939,58071,1
DOM FELICIANO,RS,Sul,1,4306502,15279,6
DOM JOAQUIM,MG,Sudeste,1,3122603,4602,21
DOM PEDRO,MA,Nordeste,1,2103802,22912,4
DOM SILVÉRIO,MG,Sudeste,1,3122702,5351,18
DOM VIÇOSO,MG,Sudeste,1,3122801,3072,32
DONA EMMA,SC,Sul,1,4205100,4081,24
DONA INÊS,PB,Nordeste,1,2505709,10383,9
DORES DE CAMPOS,MG,Sudeste,1,3123007,10093,9
DORES DE GUANHÃES,MG,Sudeste,1,3123106,5316,18
DORES DO RIO PRETO,ES,Sudeste,1,3202009,6949,14
DORES DO TURVO,MG,Sudeste,1,3123304,4437,22
DOURADO,SP,Sudeste,2,3514304,8909,22
DOURADOQUARA,MG,Sudeste,1,3123502,1930,51
DOUTOR MAURÍCIO CARDOSO,RS,Sul,1,4306734,5110,19
DOUTOR PEDRINHO,SC,Sul,1,4205159,4043,24
DOUTOR SEVERIANO,RN,Nordeste,1,2403202,7190,13
DOVERLÂNDIA,GO,Centro-Oeste,1,5207253,7750,12
DUARTINA,SP,Sudeste,2,3514502,12549,15
DUAS BARRAS,RJ,Sudeste,2,3301603,11169,17
DÁRIO MEIRA,BA,Nordeste,1,2910008,11716,8
ECOPORANGA,ES,Sudeste,2,3202108,24217,8
EDEALINA,GO,Centro-Oeste,1,5207352,3809,26
EDÉIA,GO,Centro-Oeste,2,5207402,12231,16
ELDORADO,SP,Sudeste,1,3514809,15436,6
ELDORADO DO SUL,RS,Sul,2,4306767,38581,5
ELIAS FAUSTO,SP,Sudeste,1,3514908,17393,5
ELÓI MENDES,MG,Sudeste,2,3123601,27730,7
EMBU DAS ARTES,SP,Sudeste,2,3515004,267054,0
EMBU-GUAÇU,SP,Sudeste,1,3515103,68270,1
ENCRUZILHADA,BA,Nordeste,1,2910404,19376,5
ENGENHEIRO CALDAS,MG,Sudeste,1,3123700,11098,9
ENGENHEIRO COELHO,SP,Sudeste,1,3515152,19497,5
ENGENHEIRO NAVARRO,MG,Sudeste,1,3123809,7377,13
ENTRE RIOS,BA,Nordeste,2,2910503,43223,4
ENTRE RIOS DE MINAS,MG,Sudeste,2,3123908,15292,13
EREBANGO,RS,Sul,1,4306973,3066,32
ERVAL GRANDE,RS,Sul,1,4307203,5170,19
ERVAL VELHO,SC,Sul,1,4205209,4480,22
ERVÁLIA,MG,Sudeste,2,3124005,19015,10
ESMERALDA,RS,Sul,1,4307401,3313,30
ESPERA FELIZ,MG,Sudeste,2,3124203,24805,8
ESPERANTINA,PI,Nordeste,2,2203701,39078,5
ESPERANTINÓPOLIS,MA,Nordeste,2,2104008,16653,12
ESPERANÇA,PB,Nordeste,2,2506004,33266,6
ESPINOSA,MG,Sudeste,2,3124302,32214,6
ESPLANADA,BA,Nordeste,2,2910602,37845,5
ESPÍRITO SANTO DO DOURADO,MG,Sudeste,1,3124401,4712,21
ESTAÇÃO,RS,Sul,2,4307559,6161,32
ESTEIO,RS,Sul,2,4307708,84237,2
ESTRELA D'OESTE,SP,Sudeste,1,3515202,8466,11
ESTRELA DALVA,MG,Sudeste,1,3124609,2448,40
ESTRELA DO SUL,MG,Sudeste,1,3124807,7981,12
EWBANK DA CÂMARA,MG,Sudeste,1,3125002,3952,25
FAGUNDES VARELA,RS,Sul,1,4307864,2724,36
FARIA LEMOS,MG,Sudeste,1,3125309,3371,29
FAXINAL,PR,Sul,2,4107603,17306,11
FAXINAL DOS GUEDES,SC,Sul,1,4205308,10745,9
FAZENDA NOVA,GO,Centro-Oeste,1,5207600,6070,16
FELISBURGO,MG,Sudeste,1,3125606,7431,13
FELIXLÂNDIA,MG,Sudeste,1,3125705,15273,6
FELIZ,RS,Sul,1,4308102,13273,7
FELIZ DESERTO,AL,Nordeste,1,2702702,4806,20
FELÍCIO DOS SANTOS,MG,Sudeste,1,3125408,5012,19
FERNANDES TOURINHO,MG,Sudeste,1,3125804,3369,29
FERNANDO DE NORONHA,PE,Nordeste,1,2605459,3016,33
FERNANDO PRESTES,SP,Sudeste,1,3515608,5782,17
FERRAZ DE VASCONCELOS,SP,Sudeste,2,3515707,188868,1
FERREIRA GOMES,AP,Norte,1,1600238,7270,13
FLORESTA,PE,Nordeste,1,2605707,32483,3
FLORESTÓPOLIS,PR,Sul,1,4108007,11087,9
FONTE BOA,AM,Norte,1,1301605,19669,5
FORMOSA DO OESTE,PR,Sul,2,4108205,7133,28
FORMOSO,GO,Centro-Oeste,1,5208103,4623,21
FORQUILHA,CE,Nordeste,1,2304350,24047,4
FRANCISCO BADARÓ,MG,Sudeste,1,3126505,10557,9
FRANCISCO SÁ,MG,Sudeste,1,3126703,26428,3
FRANCO DA ROCHA,SP,Sudeste,2,3516408,149502,1
FREI GASPAR,MG,Sudeste,1,3126802,6024,16
FREI INOCÊNCIO,MG,Sudeste,1,3126901,9597,10
FREI PAULO,SE,Nordeste,1,2802304,15349,6
FRONTEIRA,MG,Sudeste,1,3127008,17072,5
FRUTUOSO GOMES,RN,Nordeste,1,2404002,4180,23
FUNDÃO,ES,Sudeste,1,3202207,20757,4
GALILÉIA,MG,Sudeste,1,3127305,7034,14
GALVÃO,SC,Sul,1,4205605,3058,32
GARARU,SE,Nordeste,1,2802403,11736,8
GAROPABA,SC,Sul,1,4205704,22082,4
GARUVA,SC,Sul,1,4205803,17479,5
GENERAL CARNEIRO,PR,Sul,2,4108502,14038,14
GENERAL SALGADO,SP,Sudeste,1,3516903,10951,9
GLORINHA,RS,Sul,1,4309050,7654,13
GLÓRIA DE DOURADOS,MS,Centro-Oeste,1,5004007,9960,10
GOIANIRA,GO,Centro-Oeste,1,5208806,41169,2
GOIOXIM,PR,Sul,1,4108650,7448,13
GONÇALVES,MG,Sudeste,1,3127404,4410,22
GONÇALVES DIAS,MA,Nordeste,1,2104404,17586,5
GOUVEIA,MG,Sudeste,1,3127602,12064,8
GOUVELÂNDIA,GO,Centro-Oeste,1,5209150,5656,17
GOVERNADOR CELSO RAMOS,SC,Sul,1,4206009,14229,7
GOVERNADOR DIX-SEPT ROSADO,RN,Nordeste,1,2404309,13157,7
GOVERNADOR EUGÊNIO BARROS,MA,Nordeste,1,2104602,16582,6
GOVERNADOR JORGE TEIXEIRA,RO,Norte,1,1101005,9745,10
GRAJAÚ,MA,Nordeste,2,2104800,69232,2
GRAMADO XAVIER,RS,Sul,1,4309159,4251,23
GRANJA,CE,Nordeste,1,2304707,54365,1
GRAVATAL,SC,Sul,1,4206207,11394,8
GRAÇA ARANHA,MA,Nordeste,1,2104701,6134,16
GRUPIARA,MG,Sudeste,1,3127909,1418,70
GRÃO MOGOL,MG,Sudeste,1,3127800,15931,6
GRÃO PARÁ,SC,Sul,1,4206108,6537,15
GUABIJU,RS,Sul,1,4309258,1600,62
GUADALUPE,PI,Nordeste,1,2204501,10335,9
GUAMIRANGA,PR,Sul,1,4108957,8619,11
GUAPIARA,SP,Sudeste,1,3517604,17640,5
GUAPÉ,MG,Sudeste,1,3128105,14460,6
GUARACIABA,MG,Sudeste,1,3128204,10542,9
GUARACIABA,SC,Sul,2,4206405,10259,19
GUARACIABA DO NORTE,CE,Nordeste,2,2305001,39445,5
GUARAMIRIM,SC,Sul,1,4206504,42872,2
GUARANI,MG,Sudeste,2,3128402,9047,22
GUARARÁ,MG,Sudeste,1,3128501,3938,25
GUARATINGA,BA,Nordeste,1,2911808,22154,4
GUARAÍ,TO,Norte,2,1709302,25642,7
GUARDA-MOR,MG,Sudeste,1,3128600,6736,14
GUAREÍ,SP,Sudeste,1,3518503,17551,5
GUARUJÁ DO SUL,SC,Sul,1,4206603,5139,19
GUARÁ,SP,Sudeste,1,3517703,21081,4
GUIDOVAL,MG,Sudeste,1,3128808,7300,13
GUIRATINGA,MT,Centro-Oeste,2,5104203,14615,13
GUIRICEMA,MG,Sudeste,1,3129004,8714,11
GÁLIA,SP,Sudeste,2,3516606,6776,29
HEITORAÍ,GO,Centro-Oeste,1,5209606,3757,26
HELIODORA,MG,Sudeste,1,3129202,6561,15
HERVAL,RS,Sul,2,4307104,6980,28
HIDROLINA,GO,Centro-Oeste,1,5209804,3852,25
HIDROLÂNDIA,CE,Nordeste,2,2305209,20215,9
HOLAMBRA,SP,Sudeste,2,3519055,14012,14
HULHA NEGRA,RS,Sul,1,4309654,6561,15
HUMAITÁ,AM,Norte,2,1301704,53383,3
HUMAITÁ,RS,Sul,2,4309704,4988,40
IACANGA,SP,Sudeste,1,3519105,11343,8
IAPU,MG,Sudeste,1,3129301,10962,9
IBAITI,PR,Sul,2,4109708,31095,6
IBATÉ,SP,Sudeste,2,3519303,34226,5
IBERTIOGA,MG,Sudeste,1,3129400,5150,19
IBIAÇÁ,RS,Sul,2,4309803,4846,41
IBICARAÍ,BA,Nordeste,1,2912103,23529,4
IBICARÉ,SC,Sul,1,4206801,3268,30
IBICUITINGA,CE,Nordeste,1,2305332,12350,8
IBICUÍ,BA,Nordeste,1,2912301,16796,5
IBIQUERA,BA,Nordeste,1,2912608,4214,23
IBIRACI,MG,Sudeste,1,3129707,13575,7
IBIRAIARAS,RS,Sul,1,4309902,7458,13
IBIRAPITANGA,BA,Nordeste,2,2912707,24293,8
IBIRATAIA,BA,Nordeste,1,2912905,17221,5
IBIRAÇU,ES,Sudeste,1,3202504,12581,7
IBIRITÉ,MG,Sudeste,1,3129806,177475,0
IBIRÁ,SP,Sudeste,1,3519402,12096,8
IBITIARA,BA,Nordeste,1,2913002,16855,5
IBITITÁ,BA,Nordeste,1,2913101,17948,5
IBITIÚRA DE MINAS,MG,Sudeste,1,3129905,3536,28
ICAPUÍ,CE,Nordeste,1,2305357,19685,5
ICONHA,ES,Sudeste,1,3202603,14016,7
ICÓ,CE,Nordeste,2,2305407,67486,2
IGAPORÃ,BA,Nordeste,1,2913408,16283,6
IGARAPÉ,MG,Sudeste,1,3130101,41127,2
IGARATÁ,SP,Sudeste,1,3520202,9443,10
IGUABA GRANDE,RJ,Sudeste,2,3301876,26936,7
IGUAPE,SP,Sudeste,2,3520301,30644,6
IGUATAMA,MG,Sudeste,1,3130309,8172,12
IGUATEMI,MS,Centro-Oeste,2,5004304,15838,12
IJACI,MG,Sudeste,1,3130408,6460,15
ILHABELA,SP,Sudeste,1,3520400,33354,2
ILICÍNEA,MG,Sudeste,2,3130507,12358,16
ILÓPOLIS,RS,Sul,1,4310306,4202,23
IMACULADA,PB,Nordeste,1,2506707,11833,8
IMARUÍ,SC,Sul,1,4207205,10571,9
IMBAÚ,PR,Sul,1,4110078,12697,7
IMBITUVA,PR,Sul,2,4110102,31719,6
IMBUIA,SC,Sul,1,4207403,6133,16
IMBÉ,RS,Sul,1,4310330,20578,4
INAJÁ,PR,Sul,1,4110300,3137,31
INDIARA,GO,Centro-Oeste,2,5209952,15213,13
INGÁ,PB,Nordeste,1,2506806,18163,5
INHAMBUPE,BA,Nordeste,1,2913705,40453,2
INHUMA,PI,Nordeste,1,2204709,15065,6
INIMUTABA,MG,Sudeste,1,3131109,7489,13
INÁCIO MARTINS,PR,Sul,1,4110201,11331,8
IPAMERI,GO,Centro-Oeste,2,5210109,26747,7
IPAUMIRIM,CE,Nordeste,1,2305704,12349,8
IPERÓ,SP,Sudeste,1,3521002,34913,2
IPIAÇU,MG,Sudeste,1,3131406,4285,23
IPIRA,SC,Sul,1,4207601,4562,21
IPIRANGA,PR,Sul,1,4110508,15139,6
IPIXUNA DO PARÁ,PA,Norte,1,1503457,62237,1
IPORÃ,PR,Sul,2,4110607,14704,13
IPORÃ DO OESTE,SC,Sul,1,4207650,8930,11
IPUBI,PE,Nordeste,1,2607307,30447,3
IPUEIRAS,CE,Nordeste,2,2305902,37896,5
IPUIÚNA,MG,Sudeste,2,3131505,10125,19
IPUMIRIM,SC,Sul,1,4207700,7561,13
IPÊ,RS,Sul,1,4310439,6482,15
IRANI,SC,Sul,1,4207809,10285,9
IRAPUÃ,SP,Sudeste,1,3521507,7878,12
IRAUÇUBA,CE,Nordeste,1,2306108,23858,4
IRAÍ,RS,Sul,2,4310504,7921,25
IRAÍ DE MINAS,MG,Sudeste,1,3131604,6969,14
ITABAIANA,PB,Nordeste,2,2506905,24475,8
ITABELA,BA,Nordeste,1,2914653,31422,3
ITABERÁ,SP,Sudeste,2,3521705,17879,11
ITABIRINHA,MG,Sudeste,1,3131802,11498,8
ITABORAÍ,RJ,Sudeste,2,3301900,232394,0
ITACARAMBI,MG,Sudeste,1,3132107,18443,5
ITACOATIARA,AM,Norte,2,1301902,99854,2
ITAETÉ,BA,Nordeste,1,2915007,16586,6
ITAGI,BA,Nordeste,1,2915106,13199,7
ITAGIMIRIM,BA,Nordeste,1,2915304,7291,13
ITAGUARA,MG,Sudeste,2,3132206,13329,15
ITAIPULÂNDIA,PR,Sul,1,4110953,10587,9
ITAIPÉ,MG,Sudeste,1,3132305,12725,7
ITAJOBI,SP,Sudeste,2,3521903,15246,13
ITAJU,SP,Sudeste,1,3522000,3703,27
ITAJU DO COLÔNIA,BA,Nordeste,1,2915403,7218,13
ITAJUÍPE,BA,Nordeste,1,2915502,21642,4
ITAJÁ,GO,Centro-Oeste,1,5210802,4876,20
ITAMARANDIBA,MG,Sudeste,1,3132503,34661,2
ITAMARATI DE MINAS,MG,Sudeste,1,3132602,4362,22
ITAMARI,BA,Nordeste,1,2915700,8476,11
ITAMBACURI,MG,Sudeste,2,3132701,23637,8
ITAMBÉ,BA,Nordeste,2,2915809,24901,8
ITAMBÉ DO MATO DENTRO,MG,Sudeste,1,3132800,2207,45
ITAMONTE,MG,Sudeste,1,3133006,15391,6
ITANHANDU,MG,Sudeste,1,3133105,15290,6
ITANHOMI,MG,Sudeste,1,3133204,12394,8
ITAOBIM,MG,Sudeste,2,3133303,21559,9
ITAPAGIPE,MG,Sudeste,2,3133402,15041,13
ITAPAJÉ,CE,Nordeste,1,2306306,51945,1
ITAPEBI,BA,Nordeste,1,2916302,10830,9
ITAPECURU MIRIM,MA,Nordeste,2,2105401,67726,2
ITAPEJARA D'OESTE,PR,Sul,1,4111209,11685,8
ITAPEMIRIM,ES,Sudeste,1,3202801,34628,2
ITAPICURU,BA,Nordeste,1,2916500,36211,2
ITAPIRAPUÃ,GO,Centro-Oeste,2,5211008,6312,31
ITAPIÚNA,CE,Nordeste,1,2306504,20014,4
ITAPORÃ,MS,Centro-Oeste,1,5004502,23539,4
ITAPOÁ,SC,Sul,1,4208450,19355,5
ITAPUÃ DO OESTE,RO,Norte,2,1101104,10310,19
ITAPUÍ,SP,Sudeste,1,3522901,13618,7
ITAQUARA,BA,Nordeste,1,2916708,8592,11
ITAQUIRAÍ,MS,Centro-Oeste,2,5004601,20637,9
ITARANA,ES,Sudeste,1,3202900,11231,8
ITARANTIM,BA,Nordeste,2,2916807,20314,9
ITARIRI,SP,Sudeste,1,3523305,17062,5
ITATIAIA,RJ,Sudeste,1,3302254,30703,3
ITATIBA DO SUL,RS,Sul,1,4310702,3896,25
ITATINGA,SP,Sudeste,2,3523503,20158,9
ITAVERAVA,MG,Sudeste,1,3133907,5690,17
ITAÚ,RN,Nordeste,1,2404903,5930,16
ITINGA,MG,Sudeste,1,3134004,15147,6
ITIRUÇU,BA,Nordeste,1,2916906,13254,7
ITORORÓ,BA,Nordeste,1,2917102,21241,4
ITUAÇU,BA,Nordeste,2,2917201,19577,10
ITUBERÁ,BA,Nordeste,2,2917300,29428,6
ITUETA,MG,Sudeste,1,3134103,6120,16
ITUMIRIM,MG,Sudeste,1,3134301,6213,16
ITUPEVA,SP,Sudeste,2,3524006,57031,3
ITÁ,SC,Sul,2,4208005,6275,31
IUIÚ,BA,Nordeste,1,2917334,11399,8
JABORÁ,SC,Sul,1,4208609,3990,25
JACARACI,BA,Nordeste,1,2917409,15459,6
JACARÉ DOS HOMENS,AL,Nordeste,1,2703403,5356,18
JACUPIRANGA,SP,Sudeste,2,3524600,17900,11
JACUTINGA,RS,Sul,1,4310900,3704,26
JAGUAQUARA,BA,Nordeste,2,2917607,56033,3
JAGUARARI,BA,Nordeste,2,2917706,34499,5
JAGUARIAÍVA,PR,Sul,2,4112009,34822,5
JAICÓS,PI,Nordeste,1,2205201,18782,5
JAMBEIRO,SP,Sudeste,1,3524907,6305,15
JANDAIA,GO,Centro-Oeste,1,5211701,6254,15
JAPERI,RJ,Sudeste,1,3302270,101237,0
JARDIM,CE,Nordeste,1,2307106,27076,3
JARDIM DO SERIDÓ,RN,Nordeste,1,2405702,12579,7
JARI,RS,Sul,1,4311130,3645,27
JATEÍ,MS,Centro-Oeste,1,5005103,4025,24
JAURU,MT,Centro-Oeste,2,5105002,8776,22
JEQUERI,MG,Sudeste,1,3135506,12859,7
JEQUITAÍ,MG,Sudeste,2,3135605,7890,25
JEQUITINHONHA,MG,Sudeste,2,3135803,25560,7
JEREMOABO,BA,Nordeste,1,2918100,41605,2
JERÔNIMO MONTEIRO,ES,Sudeste,1,3203106,12036,8
JESUÂNIA,MG,Sudeste,1,3135902,4898,20
JESUÍTAS,PR,Sul,1,4112751,8861,11
JIQUIRIÇÁ,BA,Nordeste,2,2918209,15106,13
JOAQUIM TÁVORA,PR,Sul,2,4112801,11731,17
JOAÍMA,MG,Sudeste,2,3136009,15634,12
JOSELÂNDIA,MA,Nordeste,1,2105609,15891,6
JOSÉ BOITEUX,SC,Sul,1,4209151,4887,20
JOÃO LISBOA,MA,Nordeste,2,2105500,23042,8
JUARA,MT,Centro-Oeste,2,5105101,33851,5
JUATUBA,MG,Sudeste,2,3136652,25874,7
JUAZEIRINHO,PB,Nordeste,1,2507705,18213,5
JUCÁS,CE,Nordeste,1,2307403,24597,4
JUNCO DO SERIDÓ,PB,Nordeste,1,2507804,7165,13
JUNQUEIRO,AL,Nordeste,1,2704005,25093,3
JUNQUEIRÓPOLIS,SP,Sudeste,1,3526001,20353,4
JUQUITIBA,SP,Sudeste,1,3526209,31027,3
JUQUIÁ,SP,Sudeste,1,3526100,19192,5
JURAMENTO,MG,Sudeste,1,3136801,4358,22
JURANDA,PR,Sul,1,4112959,7650,13
JURUAIA,MG,Sudeste,1,3136900,10341,9
LACERDÓPOLIS,SC,Sul,1,4209201,2251,44
LADAINHA,MG,Sudeste,1,3137007,18152,5
LAGAMAR,MG,Sudeste,1,3137106,7795,12
LAGO DO JUNCO,MA,Nordeste,1,2105807,10672,9
LAGOA DE VELHOS,RN,Nordeste,1,2406403,2771,36
LAGOA DOS GATOS,PE,Nordeste,1,2608701,16218,6
LAGOA FORMOSA,MG,Sudeste,1,3137502,18175,5
LAGOA SANTA,MG,Sudeste,2,3137601,61752,3
LAGOINHA,SP,Sudeste,1,3526308,4943,20
LAJE,BA,Nordeste,1,2918803,24306,4
LAJINHA,MG,Sudeste,1,3137700,20301,4
LAMIM,MG,Sudeste,1,3137908,3498,28
LARANJAL,MG,Sudeste,1,3138005,6852,14
LARANJAL DO JARI,AP,Norte,2,1600279,47554,4
LAURENTINO,SC,Sul,1,4209508,6790,14
LAVRAS DA MANGABEIRA,CE,Nordeste,2,2307502,31335,6
LAVRINHAS,SP,Sudeste,1,3526605,7150,13
LEBON RÉGIS,SC,Sul,1,4209706,12133,8
LENÇÓIS,BA,Nordeste,1,2919306,11636,8
LEOBERTO LEAL,SC,Sul,1,4209805,3140,31
LIBERATO SALZANO,RS,Sul,1,4311601,5686,17
