cidade,uf,regiao,veiculos,codmun,pop_dou_2017,veiculos_por_100khab
RIALMA,GO,Centro-Oeste,2,5218607,11036,18
RIBEIRA,SP,Sudeste,1,3542800,3390,29
RIBEIRA DO AMPARO,BA,Nordeste,1,2926509,15443,6
RIBEIRÃO,PE,Nordeste,1,2611804,47088,2
RIBEIRÃO BONITO,SP,Sudeste,1,3542909,13060,7
RIBEIRÃO DAS NEVES,MG,Sudeste,2,3154606,328871,0
RIBEIRÃO DO PINHAL,PR,Sul,2,4121901,13557,14
RINCÃO,SP,Sudeste,1,3543709,10823,9
RINÓPOLIS,SP,Sudeste,2,3543808,10098,19
RIO AZUL,PR,Sul,1,4122008,15125,6
RIO BRANCO,MT,Centro-Oeste,1,5107206,5019,19
RIO CASCA,MG,Sudeste,2,3154903,14130,14
RIO CLARO,RJ,Sudeste,1,3304409,17988,5
RIO DAS ANTAS,SC,Sul,1,4214409,6246,16
RIO DAS FLORES,RJ,Sudeste,1,3304508,8984,11
RIO DE CONTAS,BA,Nordeste,1,2926707,13712,7
RIO DO ANTÔNIO,BA,Nordeste,1,2926806,15804,6
RIO DO OESTE,SC,Sul,1,4214607,7463,13
RIO DO PIRES,BA,Nordeste,1,2926905,12130,8
RIO DO PRADO,MG,Sudeste,1,3155108,5302,18
RIO DOCE,MG,Sudeste,1,3155009,2623,38
RIO DOS CEDROS,SC,Sul,1,4214706,11431,8
RIO ESPERA,MG,Sudeste,1,3155207,5825,17
RIO FORMOSO,PE,Nordeste,2,2611903,23379,8
RIO FORTUNA,SC,Sul,1,4214904,4606,21
RIO GRANDE DA SERRA,SP,Sudeste,1,3544103,49408,2
RIO LARGO,AL,Nordeste,1,2707701,76019,1
RIO MARIA,PA,Norte,1,1506161,17705,5
RIO NEGRO,MS,Centro-Oeste,1,5007307,4834,20
RIO NOVO,MG,Sudeste,1,3155405,9084,11
RIO NOVO DO SUL,ES,Sudeste,1,3204401,12095,8
RIO PARDO DE MINAS,MG,Sudeste,1,3155603,31016,3
RIO PIRACICABA,MG,Sudeste,1,3155702,14624,6
RIO POMBA,MG,Sudeste,2,3155801,18061,11
RIO PRETO,MG,Sudeste,1,3155900,5544,18
RIO QUENTE,GO,Centro-Oeste,1,5218789,4112,24
RIO TINTO,PB,Nordeste,1,2512903,24154,4
RIO VERMELHO,MG,Sudeste,1,3156007,13453,7
RIOLÂNDIA,SP,Sudeste,1,3544202,12086,8
RITÁPOLIS,MG,Sudeste,1,3156106,4834,20
ROCA SALES,RS,Sul,2,4315800,11101,18
ROCHEDO DE MINAS,MG,Sudeste,1,3156205,2293,43
RODEIRO,MG,Sudeste,1,3156304,7857,12
ROLÂNDIA,PR,Sul,2,4122404,64726,3
RONDA ALTA,RS,Sul,2,4316105,10695,18
RONDINHA,RS,Sul,1,4316204,5497,18
ROQUE GONZALES,RS,Sul,1,4316303,7245,13
ROSÁRIO,MA,Nordeste,1,2109601,42314,2
ROSÁRIO OESTE,MT,Centro-Oeste,2,5107701,16908,11
RUBELITA,MG,Sudeste,1,3156502,6789,14
RUBIM,MG,Sudeste,1,3156601,10377,9
RUSSAS,CE,Nordeste,2,2311801,76475,2
RUY BARBOSA,BA,Nordeste,1,2927200,32009,3
SABARÁ,MG,Sudeste,2,3156700,135968,1
SABINÓPOLIS,MG,Sudeste,1,3156809,15936,6
SALDANHA MARINHO,RS,Sul,1,4316436,2849,35
SALETE,SC,Sul,1,4215307,7634,13
SALGADO FILHO,PR,Sul,1,4122800,4003,24
SALTINHO,SP,Sudeste,1,3545159,8019,12
SALTO DA DIVISA,MG,Sudeste,2,3157104,7127,28
SALTO DO ITARARÉ,PR,Sul,1,4122909,5158,19
SALTO DO JACUÍ,RS,Sul,2,4316451,12490,16
SALTO DO LONTRA,PR,Sul,2,4123006,14713,13
SALTO VELOSO,SC,Sul,1,4215406,4655,21
SANCLERLÂNDIA,GO,Centro-Oeste,1,5219001,7798,12
SANDOVALINA,SP,Sudeste,1,3545506,4174,23
SANTA BÁRBARA DO TUGÚRIO,MG,Sudeste,1,3157302,4590,21
SANTA CRUZ,RN,Nordeste,1,2411205,39667,2
SANTA CRUZ CABRÁLIA,BA,Nordeste,2,2927705,28552,7
SANTA CRUZ DE MINAS,MG,Sudeste,1,3157336,8547,11
SANTA CRUZ DO ESCALVADO,MG,Sudeste,1,3157401,4960,20
SANTA INÊS,BA,Nordeste,1,2927903,11161,8
SANTA ISABEL DO IVAÍ,PR,Sul,2,4123709,8858,22
SANTA IZABEL DO OESTE,PR,Sul,2,4123808,14411,13
SANTA JULIANA,MG,Sudeste,2,3157708,13380,14
SANTA LEOPOLDINA,ES,Sudeste,2,3204500,12889,15
SANTA LUZIA,MA,Nordeste,1,2110005,71576,1
SANTA LUZIA,MG,Sudeste,2,3157807,218897,0
SANTA LUZIA,PB,Nordeste,2,2513406,15401,12
SANTA LÚCIA,SP,Sudeste,1,3546900,8758,11
SANTA MARGARIDA,MG,Sudeste,1,3157906,16173,6
SANTA MARIA DA VITÓRIA,BA,Nordeste,2,2928109,41769,4
SANTA MARIA DE ITABIRA,MG,Sudeste,2,3158003,11007,18
SANTA MARIA DE JETIBÁ,ES,Sudeste,1,3204559,39928,2
SANTA MARIA DO PARÁ,PA,Norte,1,1506609,24186,4
SANTA MARIA DO SALTO,MG,Sudeste,1,3158102,5381,18
SANTA MARIA DO SUAÇUÍ,MG,Sudeste,1,3158201,14896,6
SANTA MARIA MADALENA,RJ,Sudeste,1,3304607,10172,9
SANTA RITA,PB,Nordeste,1,2513703,136851,0
SANTA RITA DE CALDAS,MG,Sudeste,1,3159209,9198,10
SANTA RITA DO ARAGUAIA,GO,Centro-Oeste,1,5219407,8218,12
SANTA RITA DO PARDO,MS,Centro-Oeste,1,5007554,7732,12
SANTA ROSA DE GOIÁS,GO,Centro-Oeste,1,5219506,2626,38
SANTA ROSA DE LIMA,SC,Sul,1,4215604,2139,46
SANTA ROSA DE VITERBO,SP,Sudeste,2,3547601,26067,7
SANTA TERESA,ES,Sudeste,1,3204609,24025,4
SANTA TEREZA DO OESTE,PR,Sul,1,4124020,10471,9
SANTA TEREZINHA DE GOIÁS,GO,Centro-Oeste,1,5219704,9622,10
SANTA TEREZINHA DE ITAIPU,PR,Sul,2,4124053,22992,8
SANTANA,BA,Nordeste,1,2928208,27492,3
SANTANA DA BOA VISTA,RS,Sul,2,4317004,8414,23
SANTANA DO ARAGUAIA,PA,Norte,1,1506708,70764,1
SANTANA DO CARIRI,CE,Nordeste,1,2312106,17489,5
SANTANA DO DESERTO,MG,Sudeste,1,3158607,4032,24
SANTANA DO JACARÉ,MG,Sudeste,1,3158805,4861,20
SANTANA DO MANHUAÇU,MG,Sudeste,1,3158904,8853,11
SANTANA DO MUNDAÚ,AL,Nordeste,1,2708105,10899,9
SANTANA DO PARAÍSO,MG,Sudeste,1,3158953,32828,3
SANTANA DOS MONTES,MG,Sudeste,1,3159100,3887,25
SANTO AMARO,BA,Nordeste,1,2928604,61961,1
SANTO ANTÔNIO,RN,Nordeste,2,2411502,24220,8
SANTO ANTÔNIO DA BARRA,GO,Centro-Oeste,1,5219712,4780,20
SANTO ANTÔNIO DAS MISSÕES,RS,Sul,2,4317707,11051,18
SANTO ANTÔNIO DO AMPARO,MG,Sudeste,1,3159902,18553,5
SANTO ANTÔNIO DO AVENTUREIRO,MG,Sudeste,1,3160009,3668,27
SANTO ANTÔNIO DO CAIUÁ,PR,Sul,1,4124202,2741,36
SANTO ANTÔNIO DO GRAMA,MG,Sudeste,1,3160108,4071,24
SANTO ANTÔNIO DO JACINTO,MG,Sudeste,1,3160306,11977,8
SANTO ANTÔNIO DO LEVERGER,MT,Centro-Oeste,1,5107800,18392,5
SANTO ANTÔNIO DO SUDOESTE,PR,Sul,2,4124400,20158,9
SANTO ANTÔNIO DOS LOPES,MA,Nordeste,1,2110302,14222,7
SANTO INÁCIO,PR,Sul,1,4124509,5506,18
SAPEZAL,MT,Centro-Oeste,1,5107875,24305,4
SARANDI,PR,Sul,2,4126256,94181,2
SARUTAIÁ,SP,Sudeste,1,3551207,3681,27
SAÚDE,BA,Nordeste,1,2929800,13385,7
SCHROEDER,SC,Sul,1,4217402,20095,4
SENADOR AMARAL,MG,Sudeste,1,3165578,5439,18
SENADOR CORTES,MG,Sudeste,1,3165602,2049,48
SENADOR FIRMINO,MG,Sudeste,1,3165701,7792,12
SENADOR GUIOMARD,AC,Norte,2,1200450,21552,9
SENADOR JOSÉ BENTO,MG,Sudeste,1,3165800,1672,59
SENGÉS,PR,Sul,1,4126306,19443,5
SENHOR DO BONFIM,BA,Nordeste,2,2930105,81218,2
SENHORA DE OLIVEIRA,MG,Sudeste,1,3166006,5892,16
SENHORA DO PORTO,MG,Sudeste,1,3166105,3602,27
SENHORA DOS REMÉDIOS,MG,Sudeste,1,3166204,10622,9
SERRA AZUL DE MINAS,MG,Sudeste,1,3166501,4372,22
SERRA DO RAMALHO,BA,Nordeste,1,2930154,32991,3
SERRA DOS AIMORÉS,MG,Sudeste,1,3166709,8809,11
SERRA GRANDE,PB,Nordeste,1,2515708,3100,32
SERRA NEGRA DO NORTE,RN,Nordeste,1,2413409,8175,12
SERRANA,SP,Sudeste,2,3551504,43790,4
SERRANOS,MG,Sudeste,1,3167004,2023,49
SERRANÓPOLIS,GO,Centro-Oeste,1,5220504,8323,12
SERRINHA,RN,Nordeste,1,2413508,6422,15
SERRO,MG,Sudeste,1,3167103,21435,4
SERROLÂNDIA,BA,Nordeste,1,2930600,13832,7
SERTANÓPOLIS,PR,Sul,2,4126504,16485,12
SERTÃO,RS,Sul,1,4320503,6065,16
SETE QUEDAS,MS,Centro-Oeste,2,5007703,10790,18
SEVERIANO DE ALMEIDA,RS,Sul,1,4320602,3868,25
SEVERÍNIA,SP,Sudeste,2,3551900,17115,11
SIDROLÂNDIA,MS,Centro-Oeste,2,5007901,54575,3
SILVA JARDIM,RJ,Sudeste,2,3305604,21253,9
SILVEIRAS,SP,Sudeste,1,3552007,6228,16
SILVIANÓPOLIS,MG,Sudeste,1,3167400,6314,15
SILVÂNIA,GO,Centro-Oeste,2,5220603,20478,9
SIMONÉSIA,MG,Sudeste,2,3167608,19633,10
SIMPLÍCIO MENDES,PI,Nordeste,2,2210805,12488,16
SIMÃO DIAS,SE,Nordeste,1,2807105,40838,2
SIMÃO PEREIRA,MG,Sudeste,1,3167509,2651,37
SIMÕES FILHO,BA,Nordeste,2,2930709,136050,1
SINIMBU,RS,Sul,1,4320677,10408,9
SOLEDADE,PB,Nordeste,2,2516102,14987,13
SOLONÓPOLE,CE,Nordeste,1,2313005,18158,5
SOLÂNEA,PB,Nordeste,2,2516003,26376,7
SONORA,MS,Centro-Oeste,1,5007935,18393,5
SOORETAMA,ES,Sudeste,1,3205010,29038,3
SOUTO SOARES,BA,Nordeste,1,2930808,17503,5
SUCUPIRA DO NORTE,MA,Nordeste,1,2111904,10416,9
SUMIDOURO,RJ,Sudeste,1,3305703,15191,6
SÃO BENEDITO,CE,Nordeste,2,2312304,46648,4
SÃO BENTO,MA,Nordeste,1,2110500,46039,2
SÃO BENTO,PB,Nordeste,2,2513901,34215,5
SÃO BENTO DO TRAIRÍ,RN,Nordeste,1,2411700,4425,22
SÃO BENTO DO UNA,PE,Nordeste,1,2613008,58824,1
SÃO BONIFÁCIO,SC,Sul,1,4215901,2899,34
SÃO BRÁS DO SUAÇUÍ,MG,Sudeste,1,3160900,3747,26
SÃO CAITANO,PE,Nordeste,1,2613107,37023,2
SÃO CRISTOVÃO DO SUL,SC,Sul,1,4216057,5464,18
SÃO CRISTÓVÃO,SE,Nordeste,1,2806701,89232,1
SÃO DESIDÉRIO,BA,Nordeste,2,2928901,33661,5
SÃO DOMINGOS DO MARANHÃO,MA,Nordeste,1,2110708,33691,2
SÃO DOMINGOS DO PRATA,MG,Sudeste,2,3161007,17787,11
SÃO FRANCISCO,MG,Sudeste,1,3161106,56805,1
SÃO FÉLIX,BA,Nordeste,1,2929008,15310,6
SÃO FÉLIX DO XINGU,PA,Norte,1,1507300,124806,0
SÃO GABRIEL DA CACHOEIRA,AM,Norte,1,1303809,44553,2
SÃO GERALDO,MG,Sudeste,1,3161502,11905,8
SÃO GONÇALO DO ABAETÉ,MG,Sudeste,1,3161700,6898,14
SÃO GONÇALO DO AMARANTE,CE,Nordeste,1,2312403,48265,2
SÃO GONÇALO DO AMARANTE,RN,Nordeste,1,2412005,101492,0
SÃO GONÇALO DO PARÁ,MG,Sudeste,1,3161809,11985,8
SÃO GONÇALO DO RIO ABAIXO,MG,Sudeste,1,3161908,10773,9
SÃO JOSÉ DA LAJE,AL,Nordeste,2,2708303,24226,8
SÃO JOSÉ DA SAFIRA,MG,Sudeste,1,3163003,4303,23
SÃO JOSÉ DE PIRANHAS,PB,Nordeste,1,2514503,20163,4
SÃO JOSÉ DO BARREIRO,SP,Sudeste,1,3549607,4181,23
SÃO JOSÉ DO CEDRO,SC,Sul,2,4216701,13897,14
SÃO JOSÉ DO CERRITO,SC,Sul,1,4216800,8588,11
SÃO JOSÉ DO DIVINO,MG,Sudeste,1,3163300,3946,25
SÃO JOSÉ DO EGITO,PE,Nordeste,2,2613602,33704,5
SÃO JOSÉ DO HERVAL,RS,Sul,1,4318465,2158,46
SÃO JOSÉ DO MANTIMENTO,MG,Sudeste,1,3163607,2787,35
SÃO JOSÉ DO NORTE,RS,Sul,1,4318507,27206,3
SÃO JOSÉ DO RIO CLARO,MT,Centro-Oeste,2,5107305,19728,10
SÃO JOSÉ DO VALE DO RIO PRETO,RJ,Sudeste,1,3305158,21114,4
SÃO JOÃO,PR,Sul,2,4124806,10644,18
SÃO JOÃO D'ALIANÇA,GO,Centro-Oeste,1,5220009,12643,7
SÃO JOÃO DA PONTE,MG,Sudeste,1,3162401,25856,3
SÃO JOÃO DA URTIGA,RS,Sul,2,4318424,4831,41
SÃO JOÃO DO CAIUÁ,PR,Sul,1,4124905,6025,16
SÃO JOÃO DO ITAPERIÚ,SC,Sul,1,4216354,3690,27
SÃO JOÃO DO IVAÍ,PR,Sul,1,4125001,11005,9
SÃO JOÃO DO OESTE,SC,Sul,2,4216255,6309,31
SÃO JOÃO DO ORIENTE,MG,Sudeste,1,3162609,7819,12
SÃO JOÃO DO SABUGI,RN,Nordeste,1,2412104,6260,15
SÃO JOÃO DO SUL,SC,Sul,1,4216404,7268,13
SÃO JOÃO DOS PATOS,MA,Nordeste,2,2111102,25520,7
SÃO JOÃO EVANGELISTA,MG,Sudeste,1,3162807,16083,6
SÃO LOURENÇO DA MATA,PE,Nordeste,1,2613701,112099,0
SÃO LUÍS DO PARAITINGA,SP,Sudeste,1,3550001,10740,9
SÃO LUÍS DO QUITUNDE,AL,Nordeste,1,2708501,34961,2
SÃO MARTINHO,RS,Sul,1,4319109,5779,17
SÃO MARTINHO,SC,Sul,1,4217105,3210,31
SÃO MATEUS DO MARANHÃO,MA,Nordeste,1,2111508,40992,2
SÃO MATEUS DO SUL,PR,Sul,2,4125605,45398,4
SÃO MIGUEL,RN,Nordeste,1,2412500,23610,4
SÃO MIGUEL ARCANJO,SP,Sudeste,1,3550209,32910,3
SÃO MIGUEL DO ANTA,MG,Sudeste,1,3163805,7045,14
SÃO MIGUEL DO ARAGUAIA,GO,Centro-Oeste,1,5220207,22684,4
SÃO MIGUEL DO GUAMÁ,PA,Norte,1,1507607,57364,1
SÃO MIGUEL DO GUAPORÉ,RO,Norte,2,1100320,24181,8
SÃO MIGUEL DO TAPUIO,PI,Nordeste,1,2210409,17395,5
SÃO MIGUEL DOS CAMPOS,AL,Nordeste,1,2708600,61827,1
SÃO NICOLAU,RS,Sul,1,4319208,5677,17
SÃO PAULO DAS MISSÕES,RS,Sul,1,4319307,6280,15
SÃO PAULO DO POTENGI,RN,Nordeste,2,2412609,17572,11
SÃO PEDRO DA UNIÃO,MG,Sudeste,1,3163904,4911,20
SÃO PEDRO DO PARANÁ,PR,Sul,1,4125902,2443,40
SÃO PEDRO DO PIAUÍ,PI,Nordeste,1,2210508,14056,7
SÃO PEDRO DOS FERROS,MG,Sudeste,1,3164001,8181,12
SÃO ROQUE DE MINAS,MG,Sudeste,2,3164308,7092,28
SÃO ROQUE DO CANAÃ,ES,Sudeste,1,3204955,12579,7
SÃO SEBASTIÃO DA BOA VISTA,PA,Norte,2,1507706,25904,7
SÃO SEBASTIÃO DA GRAMA,SP,Sudeste,1,3550803,12317,8
SÃO SEBASTIÃO DO CAÍ,RS,Sul,2,4319505,24967,8
SÃO THOMÉ DAS LETRAS,MG,Sudeste,1,3165206,7106,14
SÃO TIAGO,MG,Sudeste,1,3165008,11073,9
SÃO TOMÁS DE AQUINO,MG,Sudeste,1,3165107,7222,13
SÃO VALENTIM DO SUL,RS,Sul,1,4319711,2265,44
SÃO VALÉRIO,TO,Norte,1,1720499,4111,24
SÃO VICENTE DO SUL,RS,Sul,2,4319802,8817,22
TABATINGA,SP,Sudeste,1,3552700,16159,6
TABIRA,PE,Nordeste,1,2614600,28301,3
TABULEIRO,MG,Sudeste,1,3167905,3963,25
TABULEIRO DO NORTE,CE,Nordeste,1,2313104,30489,3
TACIBA,SP,Sudeste,1,3552908,6193,16
TACURU,MS,Centro-Oeste,1,5007950,11284,8
TAILÂNDIA,PA,Norte,2,1507953,103321,1
TAMBORIL,CE,Nordeste,2,2313203,25525,7
TANGARÁ,SC,Sul,1,4217907,8738,11
TANHAÇU,BA,Nordeste,1,2931004,21315,4
TANQUE D'ARCA,AL,Nordeste,1,2709004,6270,15
TANQUINHO,BA,Nordeste,1,2931103,8232,12
TAPEROÁ,PB,Nordeste,2,2516508,15276,13
TAPIRA,MG,Sudeste,1,3168101,4650,21
TAPIRAMUTÁ,BA,Nordeste,1,2931301,17845,5
TAPIRATIBA,SP,Sudeste,1,3553609,13062,7
TAPIRAÍ,MG,Sudeste,1,3168200,1921,52
TAPURAH,MT,Centro-Oeste,1,5108006,12967,7
TAQUARAL DE GOIÁS,GO,Centro-Oeste,1,5221007,3625,27
TAQUARITUBA,SP,Sudeste,2,3553807,23240,8
TARAUACÁ,AC,Norte,1,1200609,40024,2
TARUMIRIM,MG,Sudeste,1,3168408,14667,6
TAVARES,RS,Sul,1,4321352,5567,17
TEIXEIRA,PB,Nordeste,2,2516706,15191,13
TEIXEIRAS,MG,Sudeste,1,3168507,11836,8
TEJUPÁ,SP,Sudeste,1,3554201,4677,21
TEJUÇUOCA,CE,Nordeste,1,2313351,18902,5
TENENTE ANANIAS,RN,Nordeste,1,2414100,10814,9
TEODORO SAMPAIO,SP,Sudeste,1,3554300,22914,4
TERRA BOA,PR,Sul,1,4127205,16991,5
TERRA DE AREIA,RS,Sul,1,4321436,10783,9
TERRA NOVA,BA,Nordeste,1,2931707,13536,7
TERRA ROXA,PR,Sul,1,4127403,17627,5
TERRA ROXA,SP,Sudeste,1,3554409,9227,10
TIANGUÁ,CE,Nordeste,2,2313401,74719,2
TIBAGI,PR,Sul,1,4127502,20562,4
TIMBIRAS,MA,Nordeste,1,2112100,28635,3
TIMBÉ DO SUL,SC,Sul,1,4218103,5377,18
TIMÓTEO,MG,Sudeste,1,3168705,88931,1
TIROS,MG,Sudeste,1,3168903,6795,14
TOBIAS BARRETO,SE,Nordeste,2,2807402,52156,3
TOCANTINS,MG,Sudeste,1,3169000,16766,5
TOCANTINÓPOLIS,TO,Norte,2,1721208,23119,8
TOMBOS,MG,Sudeste,1,3169208,8772,11
TOMÉ-AÇU,PA,Norte,2,1508001,61709,3
TOUROS,RN,Nordeste,1,2414407,34043,2
TRAIPU,AL,Nordeste,2,2709202,28070,7
TRAJANO DE MORAES,RJ,Sudeste,1,3305901,10352,9
TREMEDAL,BA,Nordeste,2,2931806,17700,11
TREZE DE MAIO,SC,Sul,2,4218400,7098,28
TREZE TÍLIAS,SC,Sul,2,4218509,7545,26
TRIUNFO,PB,Nordeste,1,2516805,9482,10
TRIUNFO,PE,Nordeste,2,2615706,15221,13
TROMBAS,GO,Centro-Oeste,1,5221452,3571,28
TROMBUDO CENTRAL,SC,Sul,1,4218608,7211,13
TRÊS BARRAS DO PARANÁ,PR,Sul,1,4127858,12256,8
TRÊS CACHOEIRAS,RS,Sul,1,4321667,10904,9
TRÊS COROAS,RS,Sul,2,4321709,26589,7
TUCANO,BA,Nordeste,2,2931905,52540,3
TUCURUÍ,PA,Norte,2,1508100,110516,1
TURILÂNDIA,MA,Nordeste,1,2112456,25533,3
TURMALINA,MG,Sudeste,2,3169703,19762,10
TURVELÂNDIA,GO,Centro-Oeste,1,5221551,5050,19
TURVO,PR,Sul,1,4127965,13640,7
TURVO,SC,Sul,2,4218806,12746,15
TURVOLÂNDIA,MG,Sudeste,1,3169802,5025,19
TURVÂNIA,GO,Centro-Oeste,1,5221502,4818,20
TUTÓIA,MA,Nordeste,1,2112506,58605,1
UAUÁ,BA,Nordeste,1,2932002,25773,3
UBAITABA,BA,Nordeste,2,2932200,20489,9
UBAÍRA,BA,Nordeste,1,2932101,20800,4
ULIANÓPOLIS,PA,Norte,1,1508126,57525,1
UMARIZAL,RN,Nordeste,1,2414506,10781,9
UMBURATIBA,MG,Sudeste,1,3170305,2709,36
UNA,BA,Nordeste,1,2932507,21331,4
UNIÃO,PI,Nordeste,2,2211100,43761,4
UNIÃO DA SERRA,RS,Sul,1,4322350,1374,72
URANDI,BA,Nordeste,1,2932606,17356,5
URBANO SANTOS,MA,Nordeste,1,2112605,33038,3
URUANA,GO,Centro-Oeste,1,5221700,14195,7
URUARÁ,PA,Norte,1,1508159,44258,2
URUBICI,SC,Sul,2,4218905,11191,17
URUBURETAMA,CE,Nordeste,1,2313807,21609,4
URUCÂNIA,MG,Sudeste,1,3170503,10589,9
URUTAÍ,GO,Centro-Oeste,1,5221809,3154,31
URUÇUCA,BA,Nordeste,1,2932705,21711,4
URUÇUÍ,PI,Nordeste,2,2211209,21188,9
UTINGA,BA,Nordeste,2,2932804,19780,10
VALENTE,BA,Nordeste,1,2933000,28743,3
VARGEM ALTA,ES,Sudeste,1,3205036,21584,4
VARGEM BONITA,MG,Sudeste,1,3170602,2209,45
VARGEM GRANDE,MA,Nordeste,2,2112704,56511,3
VARGEÃO,SC,Sul,1,4219101,3590,27
VARZELÂNDIA,MG,Sudeste,1,3170909,19723,5
VERA,MT,Centro-Oeste,1,5108501,10901,9
VERA CRUZ,BA,Nordeste,1,2933208,43640,2
VERA CRUZ,SP,Sudeste,1,3556602,10963,9
VIADUTOS,RS,Sul,1,4322905,5205,19
VIANA,ES,Sudeste,1,3205101,76776,1
VICTOR GRAEFF,RS,Sul,1,4323200,3051,32
VIDAL RAMOS,SC,Sul,1,4219200,6356,15
VIEIRAS,MG,Sudeste,1,3171402,3741,26
VIGIA,PA,Norte,2,1508209,52216,3
VILA FLOR,RN,Nordeste,1,2415008,3173,31
VILA FLORES,RS,Sul,1,4323309,3382,29
VILA MARIA,RS,Sul,1,4323408,4407,22
VILA VALÉRIO,ES,Sudeste,1,3205176,14697,6
VIRGEM DA LAPA,MG,Sudeste,1,3171600,14043,7
VIRGINÓPOLIS,MG,Sudeste,2,3171808,10793,18
VIRGOLÂNDIA,MG,Sudeste,1,3171907,5613,17
VIRGÍNIA,MG,Sudeste,1,3171709,8870,11
VISEU,PA,Norte,1,1508308,59735,1
VISTA ALEGRE,RS,Sul,2,4323507,2877,69
VITOR MEIRELES,SC,Sul,1,4219358,5056,19
VITORINO,PR,Sul,1,4128708,6878,14
VITORINO FREIRE,MA,Nordeste,2,2113009,30879,6
VITÓRIA DO MEARIM,MA,Nordeste,2,2112902,32267,6
VIÇOSA,AL,Nordeste,2,2709400,26143,7
VIÇOSA,RN,Nordeste,1,2414902,1731,57
VIÇOSA DO CEARÁ,CE,Nordeste,1,2314102,60030,1
VOLTA GRANDE,MG,Sudeste,1,3172103,5315,18
VÁRZEA ALEGRE,CE,Nordeste,1,2314003,40440,2
VÁRZEA DA ROÇA,BA,Nordeste,1,2933059,14662,6
VÁRZEA PAULISTA,SP,Sudeste,2,3556503,118917,1
WAGNER,BA,Nordeste,1,2933406,9753,10
WENCESLAU BRAZ,MG,Sudeste,1,3172202,2615,38
WENCESLAU GUIMARÃES,BA,Nordeste,1,2933505,22365,4
WITMARSUM,SC,Sul,1,4219408,3912,25
XAPURI,AC,Norte,1,1200708,18174,5
XAVANTINA,SC,Sul,1,4219606,4012,24
ÁGUA BRANCA,PI,Nordeste,2,2200202,17119,11
ÁGUA CLARA,MS,Centro-Oeste,1,5000203,14992,6
ÁGUA DOCE,SC,Sul,1,4200408,7154,13
ÁGUAS BELAS,PE,Nordeste,1,2600500,43087,2
ÁGUAS DA PRATA,SP,Sudeste,2,3500402,8104,24
ÁGUAS DE CHAPECÓ,SC,Sul,1,4200507,6445,15
ÁGUAS DE LINDÓIA,SP,Sudeste,2,3500501,18509,10
ÁGUAS DE SANTA BÁRBARA,SP,Sudeste,1,3500550,6009,16
ÁGUAS DE SÃO PEDRO,SP,Sudeste,1,3500600,3268,30
ÁGUAS FORMOSAS,MG,Sudeste,2,3100906,19416,10
ÁGUAS VERMELHAS,MG,Sudeste,1,3101003,13576,7
