ano,uf,T_ANALF15M,T_SUPER25M,ESPVIDA,MORT1,T_ENV,PIND,PMPOB,GINI,R1040,R2040,POP,PESO65,I_ESCOLARIDADE,I_FREQ_PROP,IDHM_E,IDHM_L,IDHM_R,IDHM,RDPC
2015,BRASIL,7.95,13.54,75.44,13.82,9.87,3.63,9.96,0.515,14.15,9.79,199120820,20211426,0.629,0.76,0.713,0.841,0.729,0.761,746.84
2015,RO,8.01,10.68,71.14,20.38,7.13,1.68,9.53,0.47,11.15,8.07,1755648,126433,0.573,0.697,0.653,0.769,0.703,0.708,634.73
2015,AC,13.76,11.09,73.61,17.63,6.21,7.19,20.35,0.539,15.98,11.08,789380,50105,0.615,0.681,0.658,0.81,0.663,0.71,495.58
2015,AM,6.67,11.15,71.67,18.77,5.78,6.31,20.35,0.517,14.2,9.99,3882818,228474,0.662,0.68,0.674,0.778,0.658,0.703,480.56
2015,RR,7.96,15.19,71.22,17.39,5.04,2.83,10.89,0.519,14.22,10.08,489524,25622,0.697,0.783,0.753,0.77,0.707,0.743,649.43
2015,PA,9.94,7.1,71.91,17.09,7.13,4.59,16.38,0.471,10.97,7.85,8048141,583779,0.556,0.648,0.616,0.782,0.647,0.682,448.4
2015,AP,5.89,11.82,73.66,23.45,5.73,2.75,13.42,0.493,11.96,8.72,763810,44138,0.692,0.662,0.672,0.811,0.675,0.719,532.22
2015,TO,11.43,12.48,73.11,16.32,8.52,3.69,11.6,0.517,14.23,9.6,1463154,129436,0.594,0.751,0.694,0.802,0.699,0.732,619.56
2015,MA,18.81,6.48,70.28,22.37,7.74,12.48,28.32,0.54,16.72,11.14,6681109,535140,0.521,0.723,0.648,0.755,0.629,0.677,400.97
2015,PI,18.18,8.62,70.87,19.72,8.62,7.89,20.62,0.507,13.8,9.53,3180772,276382,0.494,0.679,0.611,0.765,0.65,0.675,457.55
2015,CE,17.33,7.22,73.62,15.07,10.65,8.76,21.32,0.491,12.7,8.89,8688588,950311,0.546,0.779,0.692,0.81,0.644,0.715,438.94
2015,RN,15.77,10.19,75.48,15.34,8.62,6.9,16.35,0.506,13.42,9.4,3409386,297414,0.557,0.716,0.658,0.841,0.675,0.725,532.78
2015,PB,17.13,11.28,72.93,17.01,9.3,6.71,17.76,0.524,14.99,10.2,3923954,369774,0.553,0.713,0.655,0.799,0.672,0.709,523.52
2015,PE,15.36,9.96,73.48,13.26,10.44,7.3,17.69,0.521,14.69,9.84,9217551,977339,0.552,0.719,0.658,0.808,0.665,0.71,500.13
2015,AL,20.01,8.79,71.23,20.86,8.78,8.17,22.78,0.484,11.96,8.1,3265050,293854,0.477,0.649,0.586,0.771,0.631,0.663,406.34
2015,SE,15.63,8.03,72.41,17.02,7.81,5.33,18.87,0.48,11.73,8.44,2215321,175590,0.523,0.645,0.601,0.79,0.652,0.681,463.77
2015,BA,13.52,7.28,73.23,18.11,9.62,6.63,18.37,0.509,13.89,9.53,14984863,1464122,0.537,0.679,0.628,0.804,0.663,0.698,493.98
2015,MG,6.79,12.04,76.97,11.41,10.38,1.97,7.2,0.492,12.48,8.5,20680736,2169236,0.58,0.785,0.71,0.866,0.731,0.769,755.97
2015,ES,5.95,13.94,77.85,9.19,9.94,2.55,6.88,0.488,12.19,8.71,3832617,391610,0.633,0.773,0.723,0.881,0.728,0.777,743.26
2015,RJ,3.02,16.46,75.88,11.89,12.15,1.16,4.32,0.53,14.93,9.94,16115050,2014541,0.726,0.724,0.724,0.848,0.765,0.779,932.21
2015,SP,3.53,18.46,77.79,10.16,10.45,1.75,3.82,0.482,11.6,8.1,42074767,4649533,0.72,0.859,0.81,0.88,0.768,0.819,954.58
2015,PR,5.11,16.23,76.78,9.71,9.9,1.67,4.47,0.468,10.66,7.6,10930980,1108019,0.649,0.805,0.749,0.863,0.758,0.79,895.04
2015,SC,3.53,15.67,79.07,9.19,10.5,0.66,2.11,0.422,8.31,6.13,6589516,718012,0.672,0.828,0.773,0.901,0.774,0.816,988.57
2015,RS,3.53,13.54,77.5,9.88,12.03,1.45,4.79,0.464,10.43,7.51,10988987,1355431,0.606,0.746,0.696,0.875,0.763,0.778,921.89
2015,MS,5.98,15.42,75.28,14.48,8.74,1.02,3.81,0.474,11.09,7.84,2640988,232417,0.605,0.714,0.676,0.838,0.753,0.756,868.8
2015,MT,7.12,12.15,73.97,17.3,7.81,1.58,4.17,0.451,9.78,7.04,3192204,255742,0.647,0.796,0.742,0.816,0.731,0.763,754.98
2015,GO,6.09,13.08,74,15.35,8.48,1.89,4.76,0.447,9.57,6.91,6443217,562445,0.64,0.77,0.724,0.817,0.728,0.756,741.56
2015,DF,3,30.69,77.85,10.76,7.74,1.01,3.94,0.563,18.39,13.29,2872689,226527,0.798,0.792,0.794,0.881,0.842,0.839,1508.74
2015,RM Belém,3.23,12.23,71.91,17.09,7.7,1.38,7.91,0.486,11.89,8.22,2170415,170543,0.736,0.72,0.726,0.782,0.696,0.735,606.69
2015,RM Fortaleza,8.7,9.91,73.62,15.07,8.39,3.48,10.93,0.485,11.97,8.17,3739407,324138,0.669,0.788,0.746,0.81,0.684,0.747,564.03
2015,RM Recife,8,13.3,73.48,13.26,10.63,3.78,11.09,0.527,14.94,9.94,3891802,416557,0.678,0.766,0.735,0.808,0.702,0.748,630.37
2015,RM Salvador,3.54,13.15,73.23,18.11,7.78,2.42,7.87,0.52,14.16,9.6,3896521,308074,0.731,0.708,0.715,0.804,0.725,0.748,728.17
2015,RM Belo Horizonte,3.52,17.02,76.97,11.41,9.21,1.66,4.74,0.515,13.72,9.39,5147982,483646,0.698,0.791,0.759,0.866,0.772,0.799,974.01
2015,RM Rio de Janeiro,2.34,18.36,75.88,11.89,12.26,1.08,3.75,0.541,15.83,10.53,11837501,1493564,0.759,0.74,0.746,0.848,0.777,0.79,1005.8
2015,RM São Paulo,2.94,21.47,77.79,10.16,9.95,2.1,4.34,0.516,14.06,9.56,19834192,2103228,0.755,0.86,0.824,0.88,0.783,0.829,1045.89
2015,RM Curitiba,3.03,21.73,76.78,9.71,9.33,1.05,2.83,0.491,12.06,8.36,3388196,322763,0.737,0.814,0.788,0.863,0.792,0.814,1108.18
2015,RM Porto Alegre,2.13,16.97,77.5,9.88,10.45,1.49,3.87,0.501,12.64,8.79,4035601,439763,0.703,0.697,0.699,0.875,0.783,0.786,1046.75
2015,RIDE DF,3,30.69,77.85,10.76,7.74,1.01,3.94,0.563,18.39,13.29,2872689,226527,0.798,0.792,0.794,0.881,0.842,0.839,1508.74