cidade,cod_municipal,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
PINDAMONHANGABA,353800,5,n/d,SP,São Paulo,Sudeste,Brasil,146392,826.02,0.663,0.773,0.736,0.843,0.745
REGISTRO,354260,5,n/d,SP,São Paulo,Sudeste,Brasil,54129,699.41,0.572,0.754,0.702,0.851,0.718
CAMPO MOURÃO,410430,5,n/d,PR,Paraná,Sul,Brasil,86898,843.42,0.575,0.757,0.689,0.841,0.749
CIANORTE,410550,5,n/d,PR,Paraná,Sul,Brasil,69698,837.13,0.549,0.755,0.685,0.841,0.747
PATO BRANCO,411850,5,n/d,PR,Paraná,Sul,Brasil,71860,1013.22,0.627,0.782,0.728,0.845,0.778
CAPINZAL,420390,5,n/d,SC,Santa Catarina,Sul,Brasil,20648,811.66,0.518,0.752,0.659,0.869,0.742
NAVEGANTES,421130,5,n/d,SC,Santa Catarina,Sul,Brasil,60411,756.39,0.529,0.736,0.624,0.873,0.731
POMERODE,421320,5,n/d,SC,Santa Catarina,Sul,Brasil,27548,1022.91,0.558,0.78,0.687,0.886,0.78
SEARA,421750,5,n/d,SC,Santa Catarina,Sul,Brasil,16884,1188.18,0.505,0.779,0.674,0.872,0.804
SOMBRIO,421770,5,n/d,SC,Santa Catarina,Sul,Brasil,26590,746.69,0.475,0.728,0.617,0.858,0.729
TAIÓ,421780,5,n/d,SC,Santa Catarina,Sul,Brasil,17065,848.34,0.491,0.761,0.67,0.879,0.749
XANXERÊ,421950,5,n/d,SC,Santa Catarina,Sul,Brasil,43612,906.11,0.593,0.775,0.711,0.861,0.76
ARROIO GRANDE,430130,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,18364,528.13,0.409,0.657,0.522,0.807,0.673
CARAZINHO,430470,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,58825,881.73,0.621,0.766,0.707,0.84,0.756
ERECHIM,430700,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,95232,1038.39,0.629,0.776,0.716,0.833,0.782
ROSÁRIO DO SUL,431640,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,39469,643.97,0.483,0.699,0.576,0.841,0.705
SÃO GABRIEL,431830,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,59422,667.06,0.475,0.699,0.585,0.822,0.711
SAPIRANGA,431990,5,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,74784,713.99,0.46,0.711,0.598,0.832,0.722
URUGUAIANA,432240,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,124283,714.26,0.606,0.744,0.661,0.863,0.722
COXIM,500330,5,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,32041,703.01,0.45,0.703,0.579,0.836,0.719
CÁCERES,510250,5,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,87269,590.43,0.525,0.708,0.633,0.813,0.691
LUCAS DO RIO VERDE,510525,5,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,45306,938.65,0.624,0.768,0.71,0.833,0.766
SINOP,510790,5,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,112124,877.68,0.571,0.754,0.682,0.832,0.755
TANGARÁ DA SERRA,510795,5,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,82699,846.59,0.522,0.729,0.626,0.825,0.749
FORMOSA,520800,5,RIDE DF,GO,Goiás,Centro-Oeste,Brasil,98932,732.24,0.561,0.744,0.666,0.852,0.726
GOIANÉSIA,520860,5,n/d,GO,Goiás,Centro-Oeste,Brasil,59125,701.38,0.472,0.727,0.636,0.84,0.719
ITUMBIARA,521150,5,n/d,GO,Goiás,Centro-Oeste,Brasil,92229,821.43,0.556,0.752,0.682,0.838,0.744
GURUPI,170950,4,n/d,TO,Tocantins,Norte,Brasil,76292,778.9,0.655,0.759,0.706,0.843,0.736
GARANHUNS,260600,4,n/d,PE,Pernambuco,Nordeste,Brasil,128786,492.44,0.466,0.664,0.556,0.795,0.662
BARREIRAS,290320,4,n/d,BA,Bahia,Nordeste,Brasil,136670,602.82,0.596,0.721,0.668,0.807,0.695
CANDEIAS,290650,4,RM Salvador,BA,Bahia,Nordeste,Brasil,82844,462.57,0.563,0.691,0.616,0.823,0.652
JUAZEIRO,291840,4,n/d,BA,Bahia,Nordeste,Brasil,197031,476.58,0.511,0.677,0.594,0.796,0.657
VITÓRIA DA CONQUISTA,293330,4,n/d,BA,Bahia,Nordeste,Brasil,304599,555.66,0.493,0.678,0.581,0.788,0.681
COLATINA,320150,4,n/d,ES,Espírito Santo,Sudeste,Brasil,110795,788.29,0.528,0.746,0.668,0.841,0.738
CASIMIRO DE ABREU,330130,4,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,35180,768.45,0.568,0.726,0.642,0.811,0.734
ITAGUAÍ,330200,4,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,108802,635.5,0.575,0.715,0.638,0.814,0.703
MAGÉ,330250,4,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,226225,567.59,0.545,0.709,0.626,0.832,0.685
NOVA FRIBURGO,330340,4,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,181153,894.75,0.55,0.745,0.645,0.846,0.758
PARAÍBA DO SUL,330370,4,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,40927,613.56,0.527,0.702,0.61,0.812,0.697
RIO DAS OSTRAS,330452,4,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,104951,1051.19,0.665,0.773,0.689,0.854,0.784
SÃO JOÃO DE MERITI,330510,4,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,458238,597.57,0.614,0.719,0.646,0.831,0.693
SAQUAREMA,330550,4,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,73920,681.62,0.566,0.709,0.621,0.804,0.714
ADAMANTINA,350010,4,n/d,SP,São Paulo,Sudeste,Brasil,33490,975.43,0.608,0.79,0.75,0.852,0.772
AGUAÍ,350030,4,n/d,SP,São Paulo,Sudeste,Brasil,32089,636.07,0.467,0.715,0.606,0.858,0.703
AMERICANA,350160,4,n/d,SP,São Paulo,Sudeste,Brasil,209811,1161.68,0.651,0.811,0.76,0.876,0.8
AVARÉ,350450,4,n/d,SP,São Paulo,Sudeste,Brasil,80833,854.42,0.582,0.767,0.695,0.866,0.751
BEBEDOURO,350610,4,n/d,SP,São Paulo,Sudeste,Brasil,74728,881.64,0.594,0.78,0.735,0.853,0.756
CÂNDIDO MOTA,351000,4,n/d,SP,São Paulo,Sudeste,Brasil,29731,627.55,0.532,0.747,0.704,0.845,0.701
CAPIVARI,351040,4,n/d,SP,São Paulo,Sudeste,Brasil,47858,820.46,0.547,0.75,0.669,0.848,0.744
CARAGUATATUBA,351050,4,n/d,SP,São Paulo,Sudeste,Brasil,99908,773.99,0.609,0.759,0.705,0.845,0.735
CATANDUVA,351110,4,n/d,SP,São Paulo,Sudeste,Brasil,112210,945.05,0.611,0.785,0.74,0.853,0.767
DIADEMA,351380,4,RM São Paulo,SP,São Paulo,Sudeste,Brasil,385473,694.55,0.627,0.757,0.716,0.844,0.717
ITUVERAVA,352410,4,n/d,SP,São Paulo,Sudeste,Brasil,38583,950.39,0.573,0.765,0.694,0.841,0.768
JABOTICABAL,352430,4,n/d,SP,São Paulo,Sudeste,Brasil,70863,1015.51,0.597,0.778,0.71,0.851,0.778
LIMEIRA,352690,4,n/d,SP,São Paulo,Sudeste,Brasil,275032,910.85,0.61,0.775,0.719,0.852,0.761
MAUÁ,352940,4,RM São Paulo,SP,São Paulo,Sudeste,Brasil,415015,709.25,0.641,0.766,0.733,0.852,0.721
PARAGUAÇU PAULISTA,353550,4,n/d,SP,São Paulo,Sudeste,Brasil,40879,694.42,0.577,0.762,0.739,0.836,0.717
PERUÍBE,353760,4,n/d,SP,São Paulo,Sudeste,Brasil,59434,753.85,0.576,0.749,0.675,0.854,0.73
RIBEIRÃO PIRES,354330,4,RM São Paulo,SP,São Paulo,Sudeste,Brasil,112775,847.11,0.684,0.784,0.76,0.847,0.749
SALTO,354520,4,n/d,SP,São Paulo,Sudeste,Brasil,105198,876.67,0.632,0.78,0.751,0.837,0.755
SÃO JOÃO DA BOA VISTA,354910,4,n/d,SP,São Paulo,Sudeste,Brasil,83244,998.31,0.624,0.797,0.749,0.871,0.776
TATUÍ,355400,4,n/d,SP,São Paulo,Sudeste,Brasil,106912,771.05,0.57,0.752,0.688,0.842,0.734
TUPÃ,355500,4,n/d,SP,São Paulo,Sudeste,Brasil,62563,926.96,0.587,0.771,0.704,0.852,0.764
VALINHOS,355620,4,n/d,SP,São Paulo,Sudeste,Brasil,106411,1570.91,0.673,0.819,0.763,0.85,0.848
GOIOERÊ,410860,4,n/d,PR,Paraná,Sul,Brasil,28869,707.58,0.49,0.731,0.639,0.85,0.72
GUAÍRA,410880,4,n/d,PR,Paraná,Sul,Brasil,30447,795.84,0.482,0.724,0.615,0.836,0.739
IRATI,411070,4,n/d,PR,Paraná,Sul,Brasil,55969,685.81,0.476,0.726,0.64,0.835,0.715
LAPA,411320,4,RM Curitiba,PR,Paraná,Sul,Brasil,44798,608.6,0.448,0.706,0.595,0.848,0.696
MEDIANEIRA,411580,4,n/d,PR,Paraná,Sul,Brasil,41568,914.67,0.546,0.763,0.686,0.849,0.762
PALOTINA,411790,4,n/d,PR,Paraná,Sul,Brasil,28550,904.85,0.569,0.768,0.689,0.864,0.76
PINHAIS,411915,4,RM Curitiba,PR,Paraná,Sul,Brasil,116153,911.51,0.604,0.751,0.666,0.836,0.761
RIO BRANCO DO SUL,412220,4,RM Curitiba,PR,Paraná,Sul,Brasil,30647,548.8,0.414,0.679,0.545,0.847,0.679
TOLEDO,412770,4,n/d,PR,Paraná,Sul,Brasil,118908,876.72,0.586,0.768,0.702,0.855,0.755
UNIÃO DA VITÓRIA,412820,4,n/d,PR,Paraná,Sul,Brasil,52491,674.29,0.562,0.74,0.68,0.837,0.713
CAPIVARI DE BAIXO,420395,4,n/d,SC,Santa Catarina,Sul,Brasil,21618,723.04,0.615,0.767,0.716,0.87,0.724
IÇARA,420700,4,n/d,SC,Santa Catarina,Sul,Brasil,58666,759.54,0.511,0.741,0.645,0.861,0.732
ITUPORANGA,420850,4,n/d,SC,Santa Catarina,Sul,Brasil,22157,844.05,0.458,0.748,0.638,0.876,0.749
JAGUARUNA,420880,4,n/d,SC,Santa Catarina,Sul,Brasil,17280,701.05,0.446,0.721,0.628,0.83,0.719
PAPANDUVA,421220,4,n/d,SC,Santa Catarina,Sul,Brasil,17882,589.35,0.394,0.704,0.603,0.836,0.691
PORTO UNIÃO,421360,4,n/d,SC,Santa Catarina,Sul,Brasil,33342,864.41,0.593,0.786,0.724,0.891,0.752
SÃO FRANCISCO DO SUL,421620,4,n/d,SC,Santa Catarina,Sul,Brasil,42245,801.49,0.634,0.762,0.699,0.856,0.74
SÃO JOAQUIM,421650,4,n/d,SC,Santa Catarina,Sul,Brasil,24778,641.75,0.457,0.687,0.562,0.817,0.705
ALEGRETE,430040,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,76994,705.29,0.567,0.74,0.664,0.849,0.72
CAÇAPAVA DO SUL,430280,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,33339,618.98,0.456,0.704,0.585,0.855,0.699
CACHOEIRA DO SUL,430300,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,83072,793.67,0.539,0.742,0.648,0.854,0.739
CANELA,430440,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,38874,787.78,0.562,0.748,0.667,0.849,0.738
CAPÃO DA CANOA,430463,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,41830,884.47,0.585,0.743,0.637,0.852,0.756
ENCANTADO,430680,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,20415,931.47,0.542,0.767,0.687,0.858,0.764
ESTÂNCIA VELHA,430760,4,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,42455,848.45,0.543,0.757,0.652,0.887,0.749
FLORES DA CUNHA,430820,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,27005,1062.06,0.519,0.754,0.642,0.849,0.786
FREDERICO WESTPHALEN,430850,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,28568,875.03,0.55,0.76,0.688,0.846,0.754
HORIZONTINA,430960,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,18290,1037.04,0.587,0.783,0.716,0.858,0.782
IBIRUBÁ,431000,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,19187,1062.3,0.511,0.765,0.671,0.848,0.786
IVOTI,431080,4,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,19764,1025.02,0.606,0.784,0.729,0.848,0.78
NOVA PETRÓPOLIS,431320,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,18852,994.67,0.522,0.78,0.688,0.89,0.775
OSÓRIO,431350,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,40807,957.94,0.567,0.751,0.646,0.853,0.769
PANAMBI,431390,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,37837,864.44,0.574,0.761,0.691,0.848,0.752
RESTINGA SECA,431550,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,15743,660.14,0.419,0.683,0.542,0.828,0.709
SANTO ÂNGELO,431750,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,75626,936.27,0.58,0.772,0.696,0.863,0.765
SÃO PEDRO DO SUL,431940,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,16314,614.89,0.447,0.709,0.619,0.824,0.698
SÃO SEPÉ,431960,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,23625,656.77,0.43,0.708,0.576,0.871,0.708
TRAMANDAÍ,432160,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,41406,737.84,0.534,0.719,0.606,0.842,0.727
TRÊS PASSOS,432190,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,23429,823.33,0.555,0.768,0.71,0.858,0.745
TRIUNFO,432200,4,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,25715,695.08,0.494,0.733,0.629,0.873,0.717
BARRA DO GARÇAS,510180,4,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,56419,789.99,0.604,0.748,0.693,0.817,0.738
CACOAL,110004,3,n/d,RO,Rondônia,Norte,Brasil,78141,738.06,0.488,0.718,0.62,0.821,0.727
MARABÁ,150420,3,n/d,PA,Pará,Norte,Brasil,232030,527.86,0.508,0.668,0.564,0.785,0.673
QUIXERAMOBIM,231140,3,n/d,CE,Ceará,Nordeste,Brasil,71409,317.45,0.405,0.642,0.567,0.789,0.592
CAMPINA GRANDE,250400,3,n/d,PB,Paraíba,Nordeste,Brasil,382571,630.03,0.574,0.72,0.654,0.812,0.702
ARAPIRACA,270030,3,n/d,AL,Alagoas,Nordeste,Brasil,212874,423.28,0.42,0.649,0.549,0.78,0.638
ALAGOINHAS,290070,3,n/d,BA,Bahia,Nordeste,Brasil,141312,553.17,0.575,0.683,0.592,0.79,0.681
CAMAÇARI,290570,3,RM Salvador,BA,Bahia,Nordeste,Brasil,242015,553.18,0.578,0.694,0.616,0.798,0.681
GUANAMBI,291170,3,n/d,BA,Bahia,Nordeste,Brasil,78399,496.05,0.455,0.673,0.584,0.789,0.663
IRECÊ,291460,3,n/d,BA,Bahia,Nordeste,Brasil,65844,488.15,0.514,0.691,0.643,0.776,0.661
PORTO SEGURO,292530,3,n/d,BA,Bahia,Nordeste,Brasil,125914,527.04,0.499,0.676,0.572,0.801,0.673
ANCHIETA,320040,3,n/d,ES,Espírito Santo,Sudeste,Brasil,23799,608.42,0.526,0.73,0.654,0.856,0.696
LINHARES,320320,3,n/d,ES,Espírito Santo,Sudeste,Brasil,139823,711.38,0.531,0.724,0.63,0.834,0.721
PINHEIROS,320410,3,n/d,ES,Espírito Santo,Sudeste,Brasil,23809,509.45,0.377,0.673,0.558,0.816,0.668
SÃO GABRIEL DA PALHA,320470,3,n/d,ES,Espírito Santo,Sudeste,Brasil,31623,792.54,0.445,0.709,0.578,0.835,0.739
SÃO MATEUS,320490,3,n/d,ES,Espírito Santo,Sudeste,Brasil,108223,699.99,0.557,0.735,0.655,0.843,0.719
SERRA,320500,3,n/d,ES,Espírito Santo,Sudeste,Brasil,407614,705.89,0.614,0.739,0.664,0.844,0.72
ARMAÇÃO DOS BÚZIOS,330023,3,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,27276,851.39,0.58,0.728,0.624,0.824,0.75
ARRAIAL DO CABO,330025,3,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,27627,714.47,0.627,0.733,0.677,0.805,0.722
CORDEIRO,330150,3,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,20407,724.29,0.581,0.729,0.649,0.826,0.724
MANGARATIBA,330260,3,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,36300,832.15,0.63,0.753,0.676,0.845,0.746
MESQUITA,330285,3,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,168234,640.37,0.662,0.737,0.678,0.839,0.704
PORCIÚNCULA,330410,3,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,17686,615.63,0.472,0.697,0.606,0.802,0.698
RIO BONITO,330430,3,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,54869,643.54,0.525,0.71,0.62,0.819,0.705
SÃO JOÃO DA BARRA,330500,3,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,32518,570.38,0.426,0.671,0.551,0.8,0.686
TRÊS RIOS,330600,3,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,77133,726.83,0.597,0.725,0.656,0.801,0.725
VALENÇA,330610,3,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,71332,675.62,0.581,0.738,0.666,0.848,0.713
ARARAS,350330,3,n/d,SP,São Paulo,Sudeste,Brasil,117824,921.76,0.617,0.781,0.728,0.859,0.763
BERTIOGA,350635,3,n/d,SP,São Paulo,Sudeste,Brasil,47239,736.03,0.542,0.73,0.654,0.817,0.727
CAIEIRAS,350900,3,RM São Paulo,SP,São Paulo,Sudeste,Brasil,86294,800.15,0.644,0.781,0.749,0.861,0.74
CAMPO LIMPO PAULISTA,350960,3,n/d,SP,São Paulo,Sudeste,Brasil,73614,767.85,0.637,0.769,0.739,0.84,0.733
CERQUILHO,351150,3,n/d,SP,São Paulo,Sudeste,Brasil,39409,894.52,0.606,0.782,0.739,0.854,0.758
CONCHAS,351230,3,n/d,SP,São Paulo,Sudeste,Brasil,16191,730.42,0.491,0.736,0.658,0.837,0.725
ESPÍRITO SANTO DO PINHAL,351518,3,n/d,SP,São Paulo,Sudeste,Brasil,41568,1048.6,0.575,0.787,0.712,0.872,0.784
GUARAREMA,351830,3,RM São Paulo,SP,São Paulo,Sudeste,Brasil,25691,748.79,0.551,0.731,0.656,0.817,0.729
IBIÚNA,351970,3,n/d,SP,São Paulo,Sudeste,Brasil,70850,624.55,0.433,0.71,0.614,0.832,0.7
ITAPEVA,352240,3,n/d,SP,São Paulo,Sudeste,Brasil,87462,630.48,0.546,0.732,0.697,0.803,0.702
ITAPEVI,352250,3,RM São Paulo,SP,São Paulo,Sudeste,Brasil,200590,575.72,0.554,0.735,0.677,0.855,0.687
ITAQUAQUECETUBA,352310,3,RM São Paulo,SP,São Paulo,Sudeste,Brasil,321198,502.85,0.542,0.714,0.648,0.844,0.665
ITATIBA,352340,3,n/d,SP,São Paulo,Sudeste,Brasil,101022,1080.74,0.599,0.778,0.708,0.844,0.788
JALES,352480,3,n/d,SP,São Paulo,Sudeste,Brasil,46877,850.11,0.567,0.776,0.73,0.855,0.75
JANDIRA,352500,3,RM São Paulo,SP,São Paulo,Sudeste,Brasil,108193,792.33,0.609,0.76,0.706,0.841,0.738
JARDINÓPOLIS,352510,3,n/d,SP,São Paulo,Sudeste,Brasil,37596,742.74,0.537,0.735,0.64,0.853,0.728
JARINU,352520,3,n/d,SP,São Paulo,Sudeste,Brasil,23797,718.61,0.508,0.733,0.659,0.826,0.723
JOSÉ BONIFÁCIO,352570,3,n/d,SP,São Paulo,Sudeste,Brasil,32661,863.34,0.542,0.777,0.717,0.869,0.752
LEME,352670,3,n/d,SP,São Paulo,Sudeste,Brasil,91255,746.15,0.511,0.744,0.665,0.851,0.729
MIRASSOL,353030,3,n/d,SP,São Paulo,Sudeste,Brasil,53576,841.27,0.577,0.762,0.698,0.846,0.748
MONTE ALTO,353130,3,n/d,SP,São Paulo,Sudeste,Brasil,46499,832.6,0.546,0.768,0.707,0.859,0.746
PEDREIRA,353710,3,n/d,SP,São Paulo,Sudeste,Brasil,41401,853.76,0.574,0.769,0.701,0.864,0.75
PRAIA GRANDE,354100,3,n/d,SP,São Paulo,Sudeste,Brasil,261424,820.97,0.633,0.754,0.692,0.834,0.744
RIO DAS PEDRAS,354400,3,n/d,SP,São Paulo,Sudeste,Brasil,29409,804.0,0.602,0.759,0.7,0.842,0.741
SANTA CRUZ DO RIO PARDO,354640,3,n/d,SP,São Paulo,Sudeste,Brasil,43593,818.3,0.544,0.762,0.686,0.867,0.744
SANTO ANTÔNIO DE POSSE,354800,3,n/d,SP,São Paulo,Sudeste,Brasil,20591,695.67,0.426,0.702,0.576,0.838,0.718
SÃO JOSÉ DO RIO PARDO,354970,3,n/d,SP,São Paulo,Sudeste,Brasil,51528,818.61,0.563,0.774,0.717,0.868,0.744
SÃO PEDRO,355040,3,n/d,SP,São Paulo,Sudeste,Brasil,31561,803.02,0.539,0.755,0.674,0.863,0.741
SÃO VICENTE,355100,3,n/d,SP,São Paulo,Sudeste,Brasil,330341,789.32,0.65,0.768,0.716,0.857,0.738
TREMEMBÉ,355480,3,n/d,SP,São Paulo,Sudeste,Brasil,37302,959.88,0.637,0.785,0.72,0.873,0.769
VARGEM GRANDE DO SUL,355640,3,n/d,SP,São Paulo,Sudeste,Brasil,39159,711.6,0.469,0.737,0.643,0.863,0.721
VINHEDO,355670,3,n/d,SP,São Paulo,Sudeste,Brasil,63120,1493.32,0.666,0.817,0.739,0.878,0.84
ALMIRANTE TAMANDARÉ,410040,3,RM Curitiba,PR,Paraná,Sul,Brasil,103008,646.02,0.496,0.699,0.575,0.84,0.706
ASSIS CHATEAUBRIAND,410200,3,n/d,PR,Paraná,Sul,Brasil,32901,676.1,0.467,0.729,0.633,0.857,0.713
JACAREZINHO,411180,3,n/d,PR,Paraná,Sul,Brasil,38787,770.55,0.576,0.743,0.663,0.844,0.734
MARECHAL CÂNDIDO RONDON,411460,3,n/d,PR,Paraná,Sul,Brasil,46592,1036.38,0.563,0.774,0.704,0.842,0.782
PARANAGUÁ,411820,3,n/d,PR,Paraná,Sul,Brasil,139894,765.85,0.592,0.75,0.676,0.852,0.733
SÃO MIGUEL DO IGUAÇU,412570,3,n/d,PR,Paraná,Sul,Brasil,25649,734.88,0.414,0.704,0.588,0.818,0.726
TELÊMACO BORBA,412710,3,n/d,PR,Paraná,Sul,Brasil,69602,732.78,0.54,0.734,0.657,0.828,0.726
WENCESLAU BRAZ,412850,3,n/d,PR,Paraná,Sul,Brasil,19117,594.42,0.436,0.687,0.594,0.79,0.692
CAMPOS NOVOS,420360,3,n/d,SC,Santa Catarina,Sul,Brasil,32596,708.77,0.522,0.742,0.658,0.861,0.721
DIONÍSIO CERQUEIRA,420500,3,n/d,SC,Santa Catarina,Sul,Brasil,14753,636.41,0.41,0.706,0.61,0.82,0.703
GASPAR,420590,3,n/d,SC,Santa Catarina,Sul,Brasil,57615,964.36,0.558,0.765,0.655,0.889,0.77
MARAVILHA,421050,3,n/d,SC,Santa Catarina,Sul,Brasil,21897,896.02,0.562,0.781,0.708,0.886,0.758
PIRATUBA,421310,3,n/d,SC,Santa Catarina,Sul,Brasil,4773,779.57,0.485,0.758,0.714,0.829,0.736
RIO DO CAMPO,421450,3,n/d,SC,Santa Catarina,Sul,Brasil,6186,803.46,0.441,0.729,0.65,0.803,0.741
RIO NEGRINHO,421500,3,n/d,SC,Santa Catarina,Sul,Brasil,39723,664.58,0.537,0.738,0.668,0.848,0.71
RODEIO,421510,3,n/d,SC,Santa Catarina,Sul,Brasil,10871,958.15,0.447,0.754,0.626,0.889,0.769
TRÊS BARRAS,421830,3,n/d,SC,Santa Catarina,Sul,Brasil,18091,539.69,0.514,0.706,0.639,0.814,0.677
XAXIM,421970,3,n/d,SC,Santa Catarina,Sul,Brasil,25674,783.29,0.494,0.752,0.662,0.871,0.737
CAMPO BOM,430390,3,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,59572,879.65,0.52,0.745,0.643,0.852,0.755
CANDELÁRIA,430420,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,29867,620.92,0.377,0.674,0.521,0.842,0.699
ESTRELA,430780,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,30512,1002.78,0.578,0.767,0.684,0.85,0.776
GARIBALDI,430860,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,30501,1355.37,0.58,0.786,0.688,0.856,0.825
GRAMADO,430910,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,31974,1045.52,0.575,0.764,0.662,0.861,0.783
IGREJINHA,431010,3,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,31455,848.23,0.444,0.721,0.571,0.876,0.749
MARAU,431180,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,36196,980.92,0.61,0.774,0.699,0.857,0.773
PALMEIRA DAS MISSÕES,431370,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,33927,715.29,0.526,0.737,0.667,0.831,0.722
QUARAÍ,431530,3,n/d,RS,Rio Grande do Sul,Sul,Brasil,22926,528.64,0.505,0.704,0.609,0.852,0.673
