meio,cidade,Codmun6,Codmun7,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
Online,SÃO PAULO,355030.0,3550308.0,574,RM São Paulo,SP,São Paulo,Sudeste,Brasil,11172609.0,1516.21,0.677,0.805,0.725,0.855,0.843
Online,RIO DE JANEIRO,330455.0,3304557.0,161,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,6265402.0,1492.63,0.722,0.799,0.719,0.845,0.84
Online,BRASÍLIA,530010.0,5300108.0,118,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,2543802.0,1715.11,0.723,0.824,0.742,0.873,0.863
Online,PORTO ALEGRE,431490.0,4314902.0,81,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,1394270.0,1758.27,0.748,0.805,0.702,0.857,0.867
Online,CURITIBA,410690.0,4106902.0,54,RM Curitiba,PR,Paraná,Sul,Brasil,1740948.0,1581.04,0.74,0.823,0.768,0.855,0.85
Online,FLORIANÓPOLIS,420540.0,4205407.0,40,n/d,SC,Santa Catarina,Sul,Brasil,417579.0,1798.12,0.8,0.847,0.8,0.873,0.87
Online,GOIÂNIA,520870.0,5208707.0,34,n/d,GO,Goiás,Centro-Oeste,Brasil,1297161.0,1348.55,0.714,0.799,0.739,0.838,0.824
Online,BELO HORIZONTE,310620.0,3106200.0,32,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,2356435.0,1497.29,0.702,0.81,0.737,0.856,0.841
Online,PORTO VELHO,110020.0,1100205.0,24,n/d,RO,Rondônia,Norte,Brasil,422555.0,929.19,0.619,0.736,0.638,0.819,0.764
Online,CUIABÁ,510340.0,5103403.0,24,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,547297.0,1161.49,0.702,0.785,0.726,0.834,0.8
Online,JOÃO PESSOA,250750.0,2507507.0,19,n/d,PB,Paraíba,Nordeste,Brasil,713290.0,964.82,0.663,0.763,0.693,0.832,0.77
Online,SALVADOR,292740.0,2927408.0,19,RM Salvador,BA,Bahia,Nordeste,Brasil,2650633.0,973.0,0.697,0.759,0.679,0.835,0.772
Online,CAMPO GRANDE,500270.0,5002704.0,19,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,777917.0,1089.37,0.667,0.784,0.724,0.844,0.79
Online,MANAUS,130260.0,1302603.0,18,n/d,AM,Amazonas,Norte,Brasil,1793443.0,790.27,0.679,0.737,0.658,0.826,0.738
Online,TERESINA,221100.0,2211001.0,17,n/d,PI,Piauí,Nordeste,Brasil,806168.0,757.57,0.642,0.751,0.707,0.82,0.731
Online,PALMAS,172100.0,1721000.0,16,n/d,TO,Tocantins,Norte,Brasil,225432.0,1087.35,0.746,0.788,0.749,0.827,0.789
Online,CAMPINAS,350950.0,3509502.0,14,n/d,SP,São Paulo,Sudeste,Brasil,1071983.0,1390.83,0.677,0.805,0.731,0.86,0.829
Online,BAURU,350600.0,3506003.0,13,n/d,SP,São Paulo,Sudeste,Brasil,339422.0,1163.86,0.672,0.801,0.752,0.854,0.8
Online,RECIFE,261160.0,2611606.0,12,RM Recife,PE,Pernambuco,Nordeste,Brasil,1524313.0,1144.26,0.664,0.772,0.698,0.825,0.798
Online,ARACAJU,280030.0,2800308.0,12,n/d,SE,Sergipe,Nordeste,Brasil,565274.0,1052.03,0.695,0.77,0.708,0.823,0.784
Online,VITÓRIA,320530.0,3205309.0,12,n/d,ES,Espírito Santo,Sudeste,Brasil,325399.0,1866.58,0.789,0.845,0.805,0.855,0.876
Online,NATAL,240810.0,2408102.0,11,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,797986.0,950.34,0.659,0.763,0.694,0.835,0.768
Online,SANTOS,354850.0,3548500.0,11,n/d,SP,São Paulo,Sudeste,Brasil,416553.0,1693.65,0.758,0.84,0.807,0.852,0.861
Online,FORTALEZA,230440.0,2304400.0,10,RM Fortaleza,CE,Ceará,Nordeste,Brasil,2427422.0,846.36,0.658,0.754,0.695,0.824,0.749
Online,RIBEIRÃO PRETO,354340.0,3543402.0,10,n/d,SP,São Paulo,Sudeste,Brasil,599026.0,1314.04,0.683,0.8,0.739,0.844,0.82
Online,BELÉM,150140.0,1501402.0,9,RM Belém,PA,Pará,Norte,Brasil,1385193.0,853.82,0.692,0.746,0.673,0.822,0.751
Online,RIO BRANCO,120040.0,1200401.0,8,n/d,AC,Acre,Norte,Brasil,333052.0,744.67,0.607,0.727,0.661,0.798,0.729
Online,SÃO LUÍS,211130.0,2111300.0,8,n/d,MA,Maranhão,Nordeste,Brasil,1005101.0,805.36,0.735,0.768,0.752,0.813,0.741
Online,MACEIÓ,270430.0,2704302.0,8,n/d,AL,Alagoas,Nordeste,Brasil,924611.0,792.54,0.591,0.721,0.635,0.799,0.739
Online,MOGI DAS CRUZES,353060.0,3530607.0,8,RM São Paulo,SP,São Paulo,Sudeste,Brasil,386276.0,916.81,0.662,0.783,0.74,0.851,0.762
Online,PONTA GROSSA,411990.0,4119905.0,8,n/d,PR,Paraná,Sul,Brasil,309810.0,877.1,0.614,0.763,0.703,0.837,0.755
Online,DOURADOS,500370.0,5003702.0,8,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,194084.0,866.4,0.587,0.747,0.657,0.843,0.753
Online,BARUERI,350570.0,3505708.0,7,RM São Paulo,SP,São Paulo,Sudeste,Brasil,240055.0,1095.84,0.631,0.786,0.708,0.866,0.791
Online,CRICIÚMA,420460.0,4204608.0,7,n/d,SC,Santa Catarina,Sul,Brasil,190535.0,1062.53,0.639,0.788,0.737,0.846,0.786
Online,ARARAQUARA,350320.0,3503208.0,6,n/d,SP,São Paulo,Sudeste,Brasil,206646.0,1080.66,0.687,0.815,0.782,0.877,0.788
Online,SÃO BERNARDO DO CAMPO,354870.0,3548708.0,6,RM São Paulo,SP,São Paulo,Sudeste,Brasil,761343.0,1212.65,0.702,0.805,0.752,0.861,0.807
Online,SÃO JOSÉ DOS CAMPOS,354990.0,3549904.0,6,n/d,SP,São Paulo,Sudeste,Brasil,627707.0,1190.96,0.703,0.807,0.764,0.855,0.804
Online,CASCAVEL,410480.0,4104808.0,6,n/d,PR,Paraná,Sul,Brasil,281772.0,1003.38,0.63,0.782,0.728,0.846,0.776
Online,FEIRA DE SANTANA,291080.0,2910800.0,5,n/d,BA,Bahia,Nordeste,Brasil,552741.0,662.24,0.576,0.712,0.619,0.82,0.71
Online,SANTANA DE PARNAÍBA,354730.0,3547304.0,5,RM São Paulo,SP,São Paulo,Sudeste,Brasil,108248.0,1858.69,0.657,0.814,0.725,0.849,0.876
Online,SANTO ANDRÉ,354780.0,3547809.0,5,RM São Paulo,SP,São Paulo,Sudeste,Brasil,674948.0,1304.31,0.707,0.815,0.769,0.861,0.819
Online,SÃO CARLOS,354890.0,3548906.0,5,n/d,SP,São Paulo,Sudeste,Brasil,220666.0,1079.45,0.693,0.805,0.766,0.863,0.788
Online,LONDRINA,411370.0,4113700.0,5,n/d,PR,Paraná,Sul,Brasil,503548.0,1083.35,0.649,0.778,0.712,0.837,0.789
Online,ITAJAÍ,420820.0,4208203.0,5,n/d,SC,Santa Catarina,Sul,Brasil,182637.0,1014.0,0.646,0.795,0.73,0.884,0.778
Online,JOINVILLE,420910.0,4209102.0,5,n/d,SC,Santa Catarina,Sul,Brasil,512406.0,1126.74,0.709,0.809,0.749,0.889,0.795
Online,MACAPÁ,160030.0,1600303.0,4,n/d,AP,Amapá,Norte,Brasil,395465.0,717.88,0.679,0.733,0.663,0.82,0.723
Online,TEIXEIRA DE FREITAS,293135.0,2931350.0,4,n/d,BA,Bahia,Nordeste,Brasil,136656.0,560.73,0.503,0.685,0.588,0.8,0.683
Online,CONTAGEM,311860.0,3118601.0,4,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,600466.0,824.3,0.623,0.756,0.697,0.832,0.745
Online,IPATINGA,313130.0,3131307.0,4,n/d,MG,Minas Gerais,Sudeste,Brasil,238052.0,862.91,0.625,0.771,0.705,0.864,0.752
Online,JUIZ DE FORA,313670.0,3136702.0,4,n/d,MG,Minas Gerais,Sudeste,Brasil,512779.0,1050.88,0.65,0.778,0.711,0.844,0.784
Online,DUQUE DE CAXIAS,330170.0,3301702.0,4,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,853747.0,592.81,0.584,0.711,0.624,0.833,0.692
Online,NITERÓI,330330.0,3303302.0,4,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,482950.0,2000.29,0.794,0.837,0.773,0.854,0.887
Online,GUARULHOS,351880.0,3518800.0,4,RM São Paulo,SP,São Paulo,Sudeste,Brasil,1213492.0,829.91,0.639,0.763,0.717,0.831,0.746
Online,ITU,352390.0,3523909.0,4,n/d,SP,São Paulo,Sudeste,Brasil,153310.0,1038.14,0.621,0.773,0.692,0.854,0.782
Online,OSASCO,353440.0,3534401.0,4,RM São Paulo,SP,São Paulo,Sudeste,Brasil,665237.0,1003.4,0.648,0.776,0.718,0.84,0.776
Online,PIRACICABA,353870.0,3538709.0,4,n/d,SP,São Paulo,Sudeste,Brasil,363011.0,1143.2,0.64,0.785,0.717,0.848,0.797
Online,SÃO CAETANO DO SUL,354880.0,3548807.0,4,RM São Paulo,SP,São Paulo,Sudeste,Brasil,148195.0,2043.74,0.762,0.862,0.811,0.887,0.891
Online,FOZ DO IGUAÇU,410830.0,4108304.0,4,n/d,PR,Paraná,Sul,Brasil,254276.0,842.26,0.591,0.751,0.661,0.858,0.748
Online,GUARAPUAVA,410940.0,4109401.0,4,n/d,PR,Paraná,Sul,Brasil,165849.0,750.09,0.519,0.731,0.628,0.853,0.73
Online,BALNEÁRIO CAMBORIÚ,420200.0,4202008.0,4,n/d,SC,Santa Catarina,Sul,Brasil,107149.0,1625.59,0.763,0.845,0.789,0.894,0.854
Online,JARAGUÁ DO SUL,420890.0,4208906.0,4,n/d,SC,Santa Catarina,Sul,Brasil,142186.0,1111.85,0.687,0.803,0.755,0.865,0.793
Online,SÃO MIGUEL DO OESTE,421720.0,4217204.0,4,n/d,SC,Santa Catarina,Sul,Brasil,36117.0,1072.6,0.611,0.801,0.739,0.884,0.787
Online,SANTA CRUZ DO SUL,431680.0,4316808.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,117169.0,1036.87,0.619,0.773,0.693,0.852,0.782
Online,SANTA MARIA,431690.0,4316907.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,258667.0,1127.25,0.683,0.784,0.715,0.848,0.795
Online,RONDONÓPOLIS,510760.0,5107602.0,4,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,193435.0,843.62,0.598,0.755,0.698,0.823,0.749
Online,VÁRZEA GRANDE,510840.0,5108402.0,4,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,251845.0,668.86,0.604,0.734,0.661,0.842,0.711
Online,APARECIDA DE GOIÂNIA,520140.0,5201405.0,4,n/d,GO,Goiás,Centro-Oeste,Brasil,452269.0,689.3,0.57,0.718,0.62,0.834,0.716
Online,ARIQUEMES,110002.0,1100023.0,3,n/d,RO,Rondônia,Norte,Brasil,89766.0,689.95,0.514,0.702,0.6,0.806,0.716
Online,VILHENA,110030.0,1100304.0,3,n/d,RO,Rondônia,Norte,Brasil,75614.0,768.98,0.554,0.731,0.659,0.808,0.734
Online,JUAZEIRO DO NORTE,230730.0,2307304.0,3,n/d,CE,Ceará,Nordeste,Brasil,248222.0,439.53,0.528,0.694,0.642,0.81,0.644
Online,QUIXERAMOBIM,231140.0,2311405.0,3,n/d,CE,Ceará,Nordeste,Brasil,71409.0,317.45,0.405,0.642,0.567,0.789,0.592
Online,MOSSORÓ,240800.0,2408003.0,3,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,258460.0,600.28,0.565,0.72,0.663,0.811,0.694
Online,ITABUNA,291480.0,2914802.0,3,n/d,BA,Bahia,Nordeste,Brasil,203181.0,605.12,0.576,0.712,0.643,0.807,0.695
Online,DIVINÓPOLIS,312230.0,3122306.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,211866.0,868.57,0.593,0.764,0.702,0.844,0.753
Online,ITABIRA,313170.0,3131703.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,109507.0,744.61,0.576,0.756,0.678,0.873,0.729
Online,UBERABA,317010.0,3170107.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,292644.0,978.01,0.63,0.772,0.705,0.845,0.772
Online,UBERLÂNDIA,317020.0,3170206.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,600747.0,1001.45,0.646,0.789,0.716,0.885,0.776
Online,CACHOEIRO DE ITAPEMIRIM,320120.0,3201209.0,3,n/d,ES,Espírito Santo,Sudeste,Brasil,188790.0,763.71,0.561,0.746,0.677,0.837,0.733
Online,CABO FRIO,330070.0,3300704.0,3,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,185301.0,815.75,0.606,0.735,0.64,0.836,0.743
Online,BARRETOS,350550.0,3505500.0,3,n/d,SP,São Paulo,Sudeste,Brasil,111603.0,917.0,0.628,0.789,0.738,0.875,0.762
Online,FRANCA,351620.0,3516200.0,3,n/d,SP,São Paulo,Sudeste,Brasil,317558.0,846.57,0.631,0.78,0.753,0.842,0.749
Online,JUNDIAÍ,352590.0,3525904.0,3,n/d,SP,São Paulo,Sudeste,Brasil,368777.0,1431.55,0.674,0.822,0.768,0.866,0.834
Online,MARÍLIA,352900.0,3529005.0,3,n/d,SP,São Paulo,Sudeste,Brasil,213999.0,953.2,0.673,0.798,0.776,0.854,0.768
Online,PRESIDENTE PRUDENTE,354140.0,3541406.0,3,n/d,SP,São Paulo,Sudeste,Brasil,205558.0,1080.22,0.674,0.806,0.774,0.858,0.788
Online,RIO CLARO,354390.0,3543907.0,3,n/d,SP,São Paulo,Sudeste,Brasil,185172.0,1049.16,0.671,0.803,0.766,0.862,0.784
Online,SÃO JOSÉ DO RIO PRETO,354980.0,3549805.0,3,n/d,SP,São Paulo,Sudeste,Brasil,405342.0,1169.16,0.661,0.797,0.748,0.846,0.801
Online,SOROCABA,355220.0,3552205.0,3,n/d,SP,São Paulo,Sudeste,Brasil,581667.0,1107.19,0.677,0.798,0.762,0.843,0.792
Online,SUZANO,355250.0,3552502.0,3,RM São Paulo,SP,São Paulo,Sudeste,Brasil,261357.0,654.61,0.62,0.765,0.723,0.873,0.708
Online,TABOÃO DA SERRA,355280.0,3552809.0,3,RM São Paulo,SP,São Paulo,Sudeste,Brasil,243983.0,812.19,0.653,0.769,0.71,0.863,0.742
Online,MARINGÁ,411520.0,4115200.0,3,n/d,PR,Paraná,Sul,Brasil,354512.0,1202.63,0.691,0.808,0.768,0.852,0.806
Online,UMUARAMA,412810.0,4128104.0,3,n/d,PR,Paraná,Sul,Brasil,99898.0,880.6,0.567,0.761,0.698,0.836,0.755
Online,PALHOÇA,421190.0,4211900.0,3,n/d,SC,Santa Catarina,Sul,Brasil,136699.0,862.74,0.609,0.757,0.672,0.859,0.752
Online,NOVO HAMBURGO,431340.0,4313409.0,3,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,237941.0,1011.62,0.552,0.747,0.629,0.852,0.778
Online,CORUMBÁ,500320.0,5003207.0,3,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,102596.0,627.1,0.546,0.7,0.586,0.834,0.701
Online,TRÊS LAGOAS,500830.0,5008305.0,3,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,101171.0,863.66,0.579,0.744,0.645,0.849,0.752
Online,LUCAS DO RIO VERDE,510525.0,5105259.0,3,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,45306.0,938.65,0.624,0.768,0.71,0.833,0.766
Online,ROLIM DE MOURA,110028.0,1100288.0,2,n/d,RO,Rondônia,Norte,Brasil,50379.0,657.65,0.474,0.7,0.598,0.808,0.709
Online,BOA VISTA,140010.0,1400100.0,2,n/d,RR,Roraima,Norte,Brasil,281538.0,786.55,0.687,0.752,0.708,0.816,0.737
Online,EUSÉBIO,230428.0,2304285.0,2,RM Fortaleza,CE,Ceará,Nordeste,Brasil,45707.0,623.01,0.525,0.701,0.621,0.794,0.7
Online,CAMPINA GRANDE,250400.0,2504009.0,2,n/d,PB,Paraíba,Nordeste,Brasil,382571.0,630.03,0.574,0.72,0.654,0.812,0.702
Online,ARAPIRACA,270030.0,2700300.0,2,n/d,AL,Alagoas,Nordeste,Brasil,212874.0,423.28,0.42,0.649,0.549,0.78,0.638
Online,CAMAÇARI,290570.0,2905701.0,2,RM Salvador,BA,Bahia,Nordeste,Brasil,242015.0,553.18,0.578,0.694,0.616,0.798,0.681
Online,CANDEIAS,290650.0,2906501.0,2,RM Salvador,BA,Bahia,Nordeste,Brasil,82844.0,462.57,0.563,0.691,0.616,0.823,0.652
Online,SÃO GONÇALO DOS CAMPOS,292930.0,2929305.0,2,n/d,BA,Bahia,Nordeste,Brasil,33208.0,419.27,0.419,0.627,0.516,0.752,0.636
Online,VITÓRIA DA CONQUISTA,293330.0,2933307.0,2,n/d,BA,Bahia,Nordeste,Brasil,304599.0,555.66,0.493,0.678,0.581,0.788,0.681
Online,ITUIUTABA,313420.0,3134202.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,96689.0,824.46,0.513,0.739,0.644,0.84,0.745
Online,MONTES CLAROS,314330.0,3143302.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,359278.0,650.62,0.646,0.77,0.744,0.868,0.707
Online,PASSOS,314790.0,3147907.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,105700.0,802.97,0.525,0.756,0.658,0.886,0.741
Online,PATOS DE MINAS,314800.0,3148004.0,2,n/d,MG,Minas Gerais,Sudeste,Brasil,138003.0,843.57,0.576,0.765,0.698,0.855,0.749
Online,CAMPOS DOS GOYTACAZES,330100.0,3301009.0,2,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,460592.0,682.59,0.555,0.716,0.619,0.83,0.715
Online,MANGARATIBA,330260.0,3302601.0,2,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,36300.0,832.15,0.63,0.753,0.676,0.845,0.746
